"Description: ","Standardised Precipitation Index"
"Station: ","final_1971_2005_Bucurest_rcp85"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spi
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -1.63848080597605
1971-07, -0.994386305207374
1971-08, -1.33608073984795
1971-09, -1.56649607861053
1971-10, 0.1611579894428
1971-11, 1.08489601966157
1971-12, 1.05953403265745
1972-01, 1.25641475298996
1972-02, 1.09846757315249
1972-03, 1.05028864370728
1972-04, 0.00720747111307584
1972-05, -1.80815623902995
1972-06, -1.78781646464571
1972-07, -1.99046708354828
1972-08, -1.30472466737767
1972-09, -1.10623812195476
1972-10, -1.41864018294637
1972-11, -1.19319373182592
1972-12, 0.164966594439348
1973-01, 0.416221499525954
1973-02, 0.0721339071895786
1973-03, -0.0147902594919734
1973-04, 0.200072506886042
1973-05, 0.307439200209799
1973-06, -1.44190961627598
1973-07, -1.83977701406459
1973-08, -1.50191673221509
1973-09, -1.29501853439588
1973-10, -1.16238709425277
1973-11, -1.12637288271735
1973-12, -0.472352487083444
1974-01, -0.752712534349805
1974-02, -1.10481130586796
1974-03, -0.731024811739682
1974-04, -0.482705249850741
1974-05, -0.809040162120042
1974-06, -1.85083897113863
1974-07, -1.14615484171169
1974-08, -1.09426239823233
1974-09, -0.507680072090921
1974-10, 0.321868738215461
1974-11, 0.801722680821853
1974-12, 1.03471364847226
1975-01, 1.25267869200072
1975-02, 1.40989523418586
1975-03, 0.762719063035946
1975-04, 0.534830679455122
1975-05, 0.454321429575382
1975-06, 0.274477882643219
1975-07, 0.244101628510407
1975-08, 0.189826645058989
1975-09, 0.320105138577917
1975-10, 1.76028215862979
1975-11, 1.6611992645069
1975-12, 1.72139423216375
1976-01, 1.91330718936783
1976-02, 2.02822564723561
1976-03, 2.03533874675909
1976-04, 0.991623888180794
1976-05, 0.823730728028087
1976-06, 1.16869760788194
1976-07, 1.45898364665038
1976-08, 1.26101319875199
1976-09, 0.730463928228272
1976-10, 1.51044386165533
1976-11, 2.34444501096031
1976-12, 1.428821597206
1977-01, 1.62298267685982
1977-02, 1.57677165837918
1977-03, 1.57861139048752
1977-04, 0.976972461352133
1977-05, 0.507932797719123
1977-06, 0.660497329514528
1977-07, 0.675549134628751
1977-08, 0.820245205031738
1977-09, 0.661431078056203
1977-10, 0.716020365957866
1977-11, 0.461056980959719
1977-12, 0.399164465268973
1978-01, 0.847849565938125
1978-02, 1.02965439501935
1978-03, 1.28290261121676
1978-04, 0.86719486403523
1978-05, 1.31978337005103
1978-06, 1.39314603892675
1978-07, 1.03380995269762
1978-08, 0.6374013342854
1978-09, 0.0477730553319709
1978-10, -0.513289719030779
1978-11, -0.700373207655838
1978-12, -0.92880905586511
1979-01, -1.60875398375348
1979-02, -1.17700415369545
1979-03, -0.759634275529501
1979-04, -0.469189644152598
1979-05, 0.534869808117812
1979-06, 0.240121701716716
1979-07, -0.127801941633663
1979-08, -0.402255991451311
1979-09, -0.104248315163375
1979-10, -0.253701764886564
1979-11, -2.08744365047728
1979-12, -1.1017706339563
1980-01, -0.132314471278239
1980-02, -0.107822236637118
1980-03, -0.157497579438554
1980-04, 0.138907906910728
1980-05, 0.517075507108369
1980-06, 0.911832194173713
1980-07, 0.0875703188700983
1980-08, 0.116126525018168
1980-09, -0.339256565563486
1980-10, -0.190240917701384
1980-11, -0.180070283476964
1980-12, -0.441802015949174
1981-01, -0.540301392823119
1981-02, -0.589781269755274
1981-03, -0.448957524784248
1981-04, -0.525277749733005
1981-05, -0.0323443226903591
1981-06, 0.582781039826879
1981-07, 0.24673820947457
1981-08, 0.208812977264965
1981-09, 0.176012139648966
1981-10, 0.377635335606136
1981-11, -0.828827310568351
1981-12, -1.61570719483927
1982-01, -1.94905031705715
1982-02, -1.79599050264583
1982-03, -0.537738200044899
1982-04, -1.00506820402089
1982-05, -0.19780238345261
1982-06, -0.00974313230972165
1982-07, 0.0210083302235462
1982-08, 0.00840335458596523
1982-09, -0.766066991467378
1982-10, -1.02024828978862
1982-11, -1.73260895967297
1982-12, -1.60758524908456
1983-01, -1.98735630712254
1983-02, -1.76020992911472
1983-03, -1.38517512023102
1983-04, -0.835115217496335
1983-05, -0.863764449858277
1983-06, -0.436482679790253
1983-07, -0.589523655746162
1983-08, -0.98386019056388
1983-09, -1.19658497637676
1983-10, -0.785692857315901
1983-11, 0.236424219352189
1983-12, 0.0708999205382347
1984-01, 1.11561373523707
1984-02, 1.40147116170164
1984-03, 1.61089132357903
1984-04, 1.36585800062186
1984-05, 0.357425014285616
1984-06, 0.1166607421364
1984-07, -0.238743454378149
1984-08, -0.511817217177118
1984-09, -0.861059427932801
1984-10, -0.0842670140327842
1984-11, 0.112605310935728
1984-12, 0.569645107973276
1985-01, -0.029007253543423
1985-02, 0.265480741276651
1985-03, 0.189377241296653
1985-04, -0.372977717947403
1985-05, 0.26020395267508
1985-06, 0.236095766797079
1985-07, 0.692295782089529
1985-08, 0.427871753821767
1985-09, 0.599998575949978
1985-10, 0.663994272666479
1985-11, -0.00791195743101682
1985-12, 0.00917340481136488
1986-01, -0.220306754377458
1986-02, -0.0696219205256859
1986-03, -0.0282487171312569
1986-04, 0.486741839282041
1986-05, 0.677126439947966
1986-06, 0.0956983543292637
1986-07, 0.625339136264492
1986-08, 0.700322921159504
1986-09, 0.799470868870184
1986-10, 1.12166499982204
1986-11, 0.766766978446944
1986-12, 0.72872842153024
