"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Vienna_rcp85"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -7.88568085949121, -28.0551144040057, 2, 10, 15
1972, -16.3946546116337, -81.182010330317, 4, 21, 44
1973, -7.96925735459133, -25.3551629541168, 3, 5, 10
1974, -11.2803969691099, -109.892487460311, 2, 28, 32
1975, -21.1179711450084, -55.1063408276111, 4, 20, 55
1976, -9.22110826412811, -48.9521344375556, 3, 14, 27
1977, -9.22485883836652, -32.9036909406667, 4, 28, 56
1978, -12.6384117155092, -131.528036376028, 4, 20, 42
1979, -8.30682928680247, -43.5740122880001, 3, 11, 18
1980, -24.1571740588429, -55.9209275437558, 2, 17, 22
1981, -21.8244240284509, -37.7200343654558, 2, 8, 12
1982, -31.0284976416225, -51.6128182073781, 1, 4, 4
1983, -19.7853086016805, -37.0428818602499, 1, 6, 6
1984, -21.5644552923559, -72.2017637180333, 3, 24, 44
1985, -5.2836523799011, -20.835594366889, 2, 13, 16
1986, -51.8427316152171, -141.335220854711, 2, 12, 16
1987, -16.5421141510351, -74.9232672300001, 2, 25, 32
1988, -3.43248644841684, -5.37529530891685, 1, 3, 3
1989, -8.17012715076828, -22.3798499866223, 2, 5, 9
1990, -4.40474212468862, -14.5241054059556, 2, 9, 13
1991, -18.3183599989504, -37.8098521614612, 2, 6, 10
1992, -6.48982205911955, -8.46197398469451, 2, 3, 4
1993, -12.7987642261369, -54.5585786638224, 3, 5, 11
1994, -11.6369885280126, -45.7808833673835, 3, 17, 22
1995, -39.2608716917144, -66.6607055590335, 1, 7, 7
1996, -11.8347753705075, -61.4965342456003, 2, 15, 26
1997, -14.2309833319201, -62.6868958646388, 2, 7, 11
1998, -99.9, -99.9, 0, -99.9, 0
1999, -23.4510698792063, -48.614747435878, 2, 9, 13
2000, -6.82204615043425, -11.5877923784501, 2, 10, 14
2001, -14.7241672792196, -47.5476493648502, 2, 14, 20
2002, -4.03179549510448, -7.99371466550001, 1, 5, 5
2003, -4.6067298597162, -11.5892374626668, 2, 7, 10
2004, -17.5513492655644, -77.0382238621667, 2, 6, 11
2005, -22.331676662109, -226.951819590311, 8, 31, 81
2006, -37.0998121463822, -184.527275364422, 3, 23, 38
2007, -31.7316948026947, -184.527275364422, 2, 18, 21
2008, -23.2584369240323, -35.7875831116112, 1, 5, 5
2009, -4.99970679708831, -10.0148658812445, 2, 4, 7
2010, -22.4952800811824, -197.136901932556, 7, 33, 76
2011, -13.1066244640527, -74.03226280505, 3, 18, 34
2012, -99.9, -99.9, 0, -99.9, 0
2013, -12.9516539594475, -33.4915274844445, 3, 5, 12
2014, -2.91722099722187, -6.38794205760004, 2, 7, 10
2015, -99.9, -99.9, 0, -99.9, 0
2016, -1.12684583238564, -2.87474419586121, 1, 5, 5
2017, -99.9, -99.9, 0, -99.9, 0
2018, -7.88436672154642, -25.0471260943002, 3, 3, 9
2019, -25.0048400965694, -61.3633933206002, 2, 8, 13
2020, -11.3553731323006, -68.4777492842724, 7, 14, 45
2021, -17.9147895788363, -96.9490208695501, 4, 13, 35
2022, -25.7393589818257, -231.0362684461, 4, 26, 51
2023, -37.7324027298787, -153.138800503861, 4, 24, 44
