"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
fd,annual,1971,2100,-0.272727272727273,-0.211009174311927,-0.145833333333333
fd,monthly,1971,2100,0,0,0
fd,DJF,1971,2100,-0.0487804878048781,-0.036188231185612,-0.0231481481481482
fd,MAM,1971,2100,-0.0306122448979592,-0.0208333333333333,-0.010752688172043
fd,JJA,1971,2100,0,0,0
fd,SON,1971,2100,-0.0273224043715847,-0.0161812297734628,-0.00505050505050505
tnlt2,annual,1971,2100,-0.26890756302521,-0.205607476635514,-0.135135135135135
tnlt2,monthly,1971,2100,0,0,0
tnlt2,DJF,1971,2100,-0.0333333333333334,-0.0241545893719807,-0.0151515151515153
tnlt2,MAM,1971,2100,-0.0398550724637681,-0.0277777777777777,-0.0151515151515152
tnlt2,JJA,1971,2100,0,0,0
tnlt2,SON,1971,2100,-0.0306513409961686,-0.0181818181818182,-0.00653594771241831
tnltm2,annual,1971,2100,-0.252747252747253,-0.193548387096774,-0.133333333333333
tnltm2,monthly,1971,2100,0,0,0
tnltm2,DJF,1971,2100,-0.0666666666666668,-0.05,-0.0317460317460318
tnltm2,MAM,1971,2100,-0.00694444444444444,-0.00354609929078014,0
tnltm2,JJA,1971,2100,0,0,0
tnltm2,SON,1971,2100,-0.0166666666666667,-0.00888888888888889,0
tnltm20,annual,1971,2100,0,0,0
tnltm20,monthly,1971,2100,0,0,0
tnltm20,DJF,1971,2100,0,0,0
tnltm20,MAM,1971,2100,0,0,0
tnltm20,JJA,1971,2100,0,0,0
tnltm20,SON,1971,2100,0,0,0
id,annual,1971,2100,-0.155172413793103,-0.10752688172043,-0.0566037735849057
id,monthly,1971,2100,0,0,0
id,DJF,1971,2100,-0.0437710437710438,-0.0277777777777778,-0.0123456790123457
id,MAM,1971,2100,0,0,0
id,JJA,1971,2100,0,0,0
id,SON,1971,2100,0,0,0
su,annual,1971,2100,0.194805194805195,0.261363636363636,0.329545454545455
su,monthly,1971,2100,0,0,0
su,DJF,1971,2100,0,0,0
su,MAM,1971,2100,0.0588235294117647,0.0967741935483871,0.135593220338983
su,JJA,1971,2100,0.0551181102362205,0.08,0.105263157894737
su,SON,1971,2100,0.03125,0.0645161290322581,0.0983606557377049
tr,annual,1971,2100,0.172413793103448,0.211538461538462,0.25
tr,monthly,1971,2100,0,0,0
tr,DJF,1971,2100,0,0,0
tr,MAM,1971,2100,0,0,0
tr,JJA,1971,2100,0.166666666666667,0.202380952380952,0.236363636363636
tr,SON,1971,2100,0,0,0
gsl,annual,1971,2100,0.12,0.211864406779661,0.327433628318584
txx,annual,1971,2100,0.0264123076923082,0.0357472972972975,0.0452333333333331
txx,monthly,1971,2100,0.0013190972222221,0.00232928034004301,0.00334734848484846
txx,DJF,1971,2100,0.0124591836734694,0.0231790389150937,0.0327224999999999
txx,MAM,1971,2100,0.0223040404040404,0.0385563829787235,0.0541884057971012
txx,JJA,1971,2100,0.0251399999999998,0.0345973684210531,0.0435600000000003
txx,SON,1971,2100,0.000944594594594842,0.0153916666666672,0.0297714285714282
tnn,annual,1971,2100,0.0188571428571429,0.0439928571428579,0.0695456790123459
tnn,monthly,1971,2100,0.000623506366307529,0.00148266078394063,0.0023686774941995
tnn,DJF,1971,2100,0.00877142857142877,0.0332836627140983,0.0600367924528302
tnn,MAM,1971,2100,0.00746666666666699,0.012709375,0.0188749999999989
tnn,JJA,1971,2100,0.0193802469135801,0.0271759259259265,0.0356428571428575
tnn,SON,1971,2100,0.0014904761904765,0.00958403361344564,0.0182852941176475
tnx,annual,1971,2100,0.0283968085106379,0.034901351351352,0.0414605263157888
tnx,monthly,1971,2100,0.00131996672212976,0.00209579930680408,0.00285602358887954
tnx,DJF,1971,2100,0.0129386363636363,0.0256277445652176,0.0391333333333335
tnx,MAM,1971,2100,0.0139999999999998,0.0227288135593222,0.0318500000000001
tnx,JJA,1971,2100,0.0274580645161283,0.0338990384615387,0.0404188679245283
tnx,SON,1971,2100,0.00933174603174588,0.0192532258064513,0.0280595238095249
txn,annual,1971,2100,0.00921621621621644,0.0238946236559144,0.0383233333333332
txn,monthly,1971,2100,0.000602361111111094,0.00179611590038313,0.002986320754717
txn,DJF,1971,2100,0.00191052631579157,0.0173870512820511,0.0318000000000003
txn,MAM,1971,2100,0.00943508771929782,0.0232163636363639,0.0377960000000007
txn,JJA,1971,2100,0.0128600000000006,0.0235890625000001,0.0347944444444442
txn,SON,1971,2100,0.0117636363636359,0.0284130434782612,0.0433482758620683
dtr,annual,1971,2100,-0.000341689497716797,0.00235644352545883,0.00501826484018271
dtr,monthly,1971,2100,-0.000113589057389229,0.000185592146273474,0.000485164650537662
dtr,DJF,1971,2100,-0.000676777406995441,0.00279609986073592,0.00637615875242108
dtr,MAM,1971,2100,-0.000794232974910404,0.00483275985663082,0.010077898989899
dtr,JJA,1971,2100,-0.00191581907213895,0.000868242412285015,0.00363271189120815
dtr,SON,1971,2100,-0.00428621700879772,-6.98067076292068e-05,0.00441666922683037
wsdi,annual,1971,2100,0.146067415730337,0.211267605633803,0.28
wsdi3,annual,1971,2100,0.327272727272727,0.418604651162791,0.51219512195122
csdi,annual,1971,2100,0,0,0
csdi3,annual,1971,2100,-0.17741935483871,-0.138297872340426,-0.0980392156862745
txgt50p,annual,1971,2100,0.139514024787997,0.182648401826484,0.227477055122497
