"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","final_1971_2005_Constantinople_rcp85"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -99.9
1971-07, -99.9
1971-08, -99.9
1971-09, -99.9
1971-10, -99.9
1971-11, -99.9
1971-12, -0.420720737842677
1972-01, -0.391246190086573
1972-02, -0.471284487591608
1972-03, -0.281496659101611
1972-04, -0.453319527984347
1972-05, -0.206297183489738
1972-06, -0.410734505804359
1972-07, -1.35712779310911
1972-08, -0.730992963603079
1972-09, -0.752530435208158
1972-10, -0.992033975989781
1972-11, -1.17003513151803
1972-12, -0.954198597154888
1973-01, -0.985933176764997
1973-02, -0.471851063207658
1973-03, -0.441152039239436
1973-04, -0.053862158988772
1973-05, -0.169260493186581
1973-06, 0.216180282835497
1973-07, 1.06598709208982
1973-08, 0.619381327565384
1973-09, 0.225571951469981
1973-10, 0.706816496202234
1973-11, 1.0108180288994
1973-12, 0.750512366951542
1974-01, 0.666903303947463
1974-02, 0.506628737906915
1974-03, 0.119332179255588
1974-04, -0.354905406595757
1974-05, -0.297627459924837
1974-06, -0.599967696601062
1974-07, -1.46849527652482
1974-08, -1.588076780852
1974-09, -1.54838658527914
1974-10, -1.70485224485425
1974-11, -1.71939070155638
1974-12, -1.66254613420178
1975-01, -1.55662451055734
1975-02, -1.24145364943308
1975-03, -1.06593075329119
1975-04, -0.90446230443714
1975-05, -0.897049874034006
1975-06, -1.10333130316936
1975-07, -0.860252151863154
1975-08, -0.922420798894762
1975-09, -0.764471853049768
1975-10, -0.391000218882828
1975-11, -0.400400403362654
1975-12, -0.813843875205547
1976-01, -0.434191361451317
1976-02, -0.894048188299194
1976-03, -0.919443150320262
1976-04, -1.00978394156345
1976-05, -0.768783383602107
1976-06, -0.153684926773336
1976-07, -0.229409186446991
1976-08, 0.572801362473308
1976-09, 0.564512266731029
1976-10, 0.259023676717348
1976-11, 0.48441061264769
1976-12, 0.913943597422091
1977-01, 0.434111078027313
1977-02, 0.556110738966492
1977-03, 0.639258767591494
1977-04, 0.538998959555801
1977-05, 0.420965213536603
1977-06, 0.00292164342594397
1977-07, 0.397409117242222
1977-08, -0.413395661410429
1977-09, -0.416300610242521
1977-10, -0.183912612799935
1977-11, -0.727461739720762
1977-12, 0.253935202591803
1978-01, 0.211613068310502
1978-02, 0.754621196444597
1978-03, 1.12808017155908
1978-04, 1.39719053396395
1978-05, 1.47825520111902
1978-06, 1.52750318280048
1978-07, 1.92594903545113
1978-08, 1.93074276183554
1978-09, 1.87957586265963
1978-10, 1.66043869857237
1978-11, 1.80705853411852
1978-12, 0.704267751207067
1979-01, 0.736555992710273
1979-02, 0.979656093953044
1979-03, 1.02189609249753
1979-04, 1.1547891357385
1979-05, 0.775844704428068
1979-06, 0.851081713969687
1979-07, 0.134030935982544
1979-08, 0.09838413385937
1979-09, 0.397137975190467
1979-10, 0.856843931266621
1979-11, 0.983880417899253
1979-12, 1.53674442760075
1980-01, 2.01299369259022
1980-02, 1.0127826231725
1980-03, 0.890921876489556
1980-04, 0.905850606747652
1980-05, 1.03716754231225
1980-06, 1.40604708230586
1980-07, 1.18973885194438
1980-08, 1.2563311561622
1980-09, 0.396047955755026
1980-10, 0.677663325177627
1980-11, 0.478537291395164
1980-12, 0.228477658426486
1981-01, -0.305563945738951
1981-02, 0.0398936934056533
1981-03, 0.373721686994112
1981-04, 0.472273744846899
1981-05, 0.663846778343552
1981-06, 0.237790851543382
1981-07, 1.08426372617133
1981-08, 1.25599990360565
1981-09, 1.58621055245351
1981-10, 1.64266614309785
1981-11, 1.7762840925393
1981-12, 1.89080251346197
1982-01, 1.84344156025573
1982-02, 1.75079819499397
1982-03, 1.36876269637394
1982-04, 1.22827625478031
1982-05, 1.5168800070274
1982-06, 1.71666928111019
1982-07, 1.02524052305547
1982-08, 1.35345117805156
1982-09, 0.916019591349786
1982-10, 0.0617942532393745
1982-11, 0.588409037071707
1982-12, -0.235692737302816
1983-01, -0.283616998549189
1983-02, -0.451861518830397
1983-03, -0.500090047645557
1983-04, 0.0213794113266847
1983-05, 0.140894802415033
1983-06, 0.586360789676387
1983-07, 0.543992808104853
1983-08, 0.0940162660867807
1983-09, 0.0737389079039658
1983-10, 0.133042826658871
1983-11, -0.499924665496479
1983-12, 0.426368304524005
1984-01, 1.0218345402647
1984-02, 1.12137149538403
1984-03, 1.28580274935795
1984-04, 0.844854923470627
1984-05, 0.403251384185102
1984-06, -0.117116533530361
1984-07, -0.114385096741099
1984-08, -0.231243847869461
1984-09, 0.431884426863549
1984-10, 0.816667273447432
1984-11, 0.841090615311909
1984-12, 0.53010729227603
1985-01, 0.0928721227612186
1985-02, 0.539399263660699
1985-03, 0.592233250805149
1985-04, 0.82664723399142
1985-05, 1.12395329856604
1985-06, 1.48221563331256
1985-07, 1.67244544491109
1985-08, 1.64346249210032
1985-09, 0.86157763154987
1985-10, 0.557525159441343
1985-11, 0.266838119261711
1985-12, 0.629771921562826
1986-01, 0.904815378551591
1986-02, 0.158968454375186
1986-03, -0.122578958287454
1986-04, 0.251007120109501
1986-05, 0.344266625443607
1986-06, -0.12466939355824
1986-07, -0.338507209320062
1986-08, -0.00168090421124929
1986-09, 0.806903531024493
1986-10, 1.09085433505846
1986-11, 0.90266881904515
1986-12, 0.0286207057899608
1987-01, -0.389026322617372
