"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Constantinople_rcp85"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -19.0098239398721, -49.2833626188001, 2, 5, 9
1972, -9.38512704742491, -24.2920226031778, 3, 8, 15
1973, -7.87377498067513, -24.2920226031778, 5, 8, 24
1974, -3.64793919614571, -10.6662272090443, 3, 5, 14
1975, -7.5491164527833, -31.3224657561445, 6, 7, 27
1976, -8.38685072789244, -68.9848648933666, 6, 8, 28
1977, -6.94061467460778, -24.4391616042889, 4, 5, 17
1978, -6.0097784005181, -10.8688903156167, 1, 4, 4
1979, -4.47415381944044, -9.35449812499994, 1, 7, 7
1980, -4.97995891077286, -15.2711075281111, 3, 12, 18
1981, -2.49471627937466, -6.80482209955557, 4, 4, 13
1982, -20.0222241718848, -106.412924823256, 3, 11, 24
1983, -99.9, -99.9, 0, -99.9, 0
1984, -3.6614244713125, -6.20972402353337, 1, 4, 4
1985, -7.8660198657661, -23.1810501461333, 3, 16, 36
1986, -8.0068536899396, -20.0748437699834, 2, 8, 16
1987, -9.36084836161505, -37.0301073547999, 4, 9, 22
1988, -8.92058254653331, -15.7376076150333, 1, 3, 3
1989, -1.20344584285, -2.82629365253336, 1, 4, 4
1990, -4.15553120640351, -7.52670026240001, 2, 8, 13
1991, -6.12690127694912, -20.2513486472001, 2, 4, 7
1992, -9.28882021530414, -13.3244114515777, 1, 4, 4
1993, -12.4125521322235, -38.6043056566222, 3, 5, 12
1994, -13.132133420522, -44.7401339438666, 2, 11, 18
1995, -14.5708340906593, -46.8795948192001, 2, 11, 14
1996, -8.83939479868284, -27.1534370451777, 3, 6, 14
1997, -4.45453096322855, -14.2053162013388, 2, 7, 10
1998, -99.9, -99.9, 0, -99.9, 0
1999, -10.9180640415043, -25.9374243360001, 2, 8, 13
2000, -6.09296604248913, -14.7312419065334, 2, 4, 7
2001, -5.97700901032481, -11.8945825029388, 2, 7, 11
2002, -10.7931107170389, -14.9970602340834, 1, 3, 3
2003, -6.65905651826757, -16.0828861176666, 2, 3, 6
2004, -9.43688999983474, -15.2793274856, 1, 4, 4
2005, -7.20167237047216, -29.6291821363055, 8, 21, 59
2006, -10.3262247113831, -60.5726669850666, 4, 16, 30
2007, -14.3814225860816, -60.5726669850666, 3, 11, 18
2008, -99.9, -99.9, 0, -99.9, 0
2009, -7.2648085323926, -11.1644565879111, 1, 3, 3
2010, -9.23227843872541, -56.7065323106721, 4, 13, 26
2011, -6.12237092200783, -22.1810975967389, 3, 11, 22
2012, -3.38523033113424, -6.88513994326659, 1, 6, 6
2013, -4.24423528001915, -21.2627602772833, 4, 7, 18
2014, -99.9, -99.9, 0, -99.9, 0
2015, -99.9, -99.9, 0, -99.9, 0
2016, -99.9, -99.9, 0, -99.9, 0
2017, -99.9, -99.9, 0, -99.9, 0
2018, -9.69380751786206, -17.1916028668444, 1, 6, 6
2019, -4.18407994173886, -7.38346935349995, 1, 6, 6
2020, -9.99718352986112, -25.4032769658, 2, 6, 11
2021, -7.98232650854777, -26.3690376768555, 5, 6, 23
2022, -5.39095545406853, -7.17545415332778, 1, 3, 3
2023, -11.5158473859026, -34.4151439444668, 2, 5, 8
2024, -8.43478120892996, -52.7769972267999, 6, 8, 33
2025, -18.9699120104327, -119.247098517206, 3, 8, 14
2026, -19.0922152985691, -27.3880023963779, 1, 7, 7
2027, -32.0231657779771, -57.9608857148002, 1, 7, 7
2028, -6.7974066344031, -42.9547803089999, 4, 8, 22
2029, -9.6520649702455, -42.9346922805554, 5, 8, 27
2030, -99.9, -99.9, 0, -99.9, 0
2031, -8.46201048964179, -34.4507209872666, 4, 14, 27
2032, -2.07197587546667, -2.07197587546667, 1, 1, 1
2033, -99.9, -99.9, 0, -99.9, 0
2034, -4.51092491502978, -11.6539268859445, 2, 7, 10
2035, -7.17963822933581, -31.5737711072, 3, 28, 36
2036, -5.32617543806112, -13.9094469143778, 1, 16, 16
2037, -4.15056069636911, -9.4314677096945, 3, 5, 14
2038, -6.01567535542638, -37.7106174777, 4, 10, 28
2039, -8.16802411937639, -12.3862635567, 2, 4, 7
2040, -3.84674875431573, -13.8002051839999, 2, 3, 6
2041, -12.1403640235824, -17.72797648045, 1, 6, 6
2042, -5.89200690053771, -17.0068394222667, 4, 7, 18
2043, -99.9, -99.9, 0, -99.9, 0
2044, -11.0734534928257, -33.032486349, 2, 8, 12
2045, -1.21435205548519, -1.99007423486665, 2, 4, 7
2046, -11.5612662238117, -34.8395665240889, 3, 9, 16
2047, -10.5668819631259, -16.7834237466444, 1, 3, 3
2048, -5.63997691167889, -11.9124988830667, 3, 5, 11
2049, -10.0633767352659, -41.300173925089, 4, 9, 21
2050, -99.9, -99.9, 0, -99.9, 0
2051, -99.9, -99.9, 0, -99.9, 0
2052, -99.9, -99.9, 0, -99.9, 0
2053, -5.90685087354444, -11.0382541963778, 2, 4, 8
2054, -99.9, -99.9, 0, -99.9, 0
2055, -99.9, -99.9, 0, -99.9, 0
2056, -99.9, -99.9, 0, -99.9, 0
2057, -99.9, -99.9, 0, -99.9, 0
2058, -99.9, -99.9, 0, -99.9, 0
2059, -99.9, -99.9, 0, -99.9, 0
2060, -99.9, -99.9, 0, -99.9, 0
2061, -99.9, -99.9, 0, -99.9, 0
2062, -99.9, -99.9, 0, -99.9, 0
2063, -9.74781270194028, -19.4534651453334, 1, 4, 4
2064, -99.9, -99.9, 0, -99.9, 0
2065, -9.21604959972779, -17.8182277646611, 1, 12, 12
