"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Constantinople_rcp85"
"Latitude: ","41.01"
"Longitude: ","28.97"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
2075, 4.94943956092814, 30.9105524435832, 10, 37, 111
2076, 5.69690774257475, 24.0314798252888, 4, 42, 88
2077, 10.0947041213284, 91.6234110806002, 8, 17, 75
2078, 4.78735089834253, 44.7758509892223, 10, 25, 81
2079, 13.5450550337999, 98.9679051429834, 4, 23, 69
2080, 5.85839469576624, 26.0529723877501, 10, 15, 77
2081, 5.26416367609439, 41.1759444045444, 9, 31, 102
2082, 3.47929486492096, 32.603949499778, 5, 35, 66
2083, 5.89587834801251, 103.2787321214, 10, 26, 119
2084, 6.14137117503993, 43.4422455028889, 10, 22, 79
2085, 4.21142616409846, 32.3732367534001, 11, 23, 88
2086, 7.74069283283156, 69.8490457287055, 11, 24, 121
2087, 8.96319040003969, 85.6547571383111, 8, 37, 105
2088, 5.96386494087255, 23.4427915820446, 9, 23, 85
2089, 12.7345548701899, 117.431646313467, 5, 63, 112
2090, 6.06154665611834, 56.1556522172501, 9, 17, 76
2091, 6.51410521344398, 21.2088934641611, 7, 48, 145
2092, 4.71127502619354, 39.5193763465667, 3, 63, 108
2093, 11.6631725708889, 109.2665769984, 8, 47, 125
2094, 8.25694539143431, 53.1313318321001, 8, 51, 123
2095, 11.2612458213242, 53.019535464, 5, 76, 138
2096, 3.61997856880972, 30.8167053041665, 6, 77, 156
2097, 4.60615747053914, 12.7063482806887, 7, 65, 117
2098, 6.32241649659977, 30.2228603746223, 9, 43, 132
2099, 4.24502718152607, 64.2511295005556, 10, 38, 137
2100, 10.3434325294085, 80.8496255299334, 7, 51, 116
