"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Athens_rcp85"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
2088, 25.0489636026936, 31.4365, 9, 30, 118
2089, 23.5116411826269, 32.1988, 7, 63, 117
2090, 24.2481674939946, 32.19, 12, 23, 128
2091, 25.0303821184695, 30.358, 6, 64, 137
2092, 23.2426351544289, 32.6263, 10, 26, 103
2093, 23.952719280227, 34.3237, 6, 55, 149
2094, 23.4417393947323, 33.1682, 9, 49, 118
2095, 24.5640996830986, 35.3473, 2, 142, 162
2096, 23.9921820294706, 31.6767, 5, 55, 154
2097, 23.0212962891738, 31.0626, 9, 65, 121
2098, 23.2889673762934, 32.0358, 10, 41, 128
2099, 24.7013422006803, 30.9438, 7, 48, 134
2100, 25.3983209195403, 30.7918, 9, 29, 133
