tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-5.07667, -1.02375999999997, 1.83570000000003, 9.61802, 11.18906, -9.94301999999996, -8.14147999999999, -1.12289999999996, 4.37342000000001, 6.70331000000003, -7.11956999999998, -5.08724333333332, 0.525200000000011, 6.70283, 8.63746500000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 4.30733333333336, 9.26501333333337, 6.87638666666668
-3.76286999999999, -1.11297333333332, 1.84400000000005, 9.95875333333335, 11.21373, -10.6302, -7.7120533333333, -1.16379999999998, 4.49794666666669, 6.89393000000002, -7.13258999999998, -4.60446666666663, 0.354500000000029, 7.49579000000002, 8.64210000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 4.22840000000001, 9.3594466666667, 6.87638666666668
-2.61797999999997, -1.46331333333333, 1.91400000000004, 9.29870000000002, 11.21373, -10.6302, -6.93101333333334, -1.23539999999997, 4.30733333333335, 6.70413000000003, -6.41477999999999, -3.73380666666664, 0.181050000000027, 7.29476333333335, 8.64210000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 4.21430666666671, 9.35872666666669, 6.66928333333336
-2.38951999999999, -1.07553333333331, 2.32780000000002, 8.8091866666667, 10.79515, -10.59344, -6.93101333333334, -1.3716, 4.30733333333335, 6.41592000000004, -6.40607499999999, -3.69952666666664, 0.260700000000013, 5.93370333333334, 8.51492500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 4.12984666666669, 9.17447333333337, 6.43812666666668
-2.19589, -1.06841333333331, 2.32780000000002, 8.05755333333336, 10.28395, -10.25342, -8.09155999999996, -1.51659999999998, 3.96788000000003, 6.30529000000002, -6.90880499999998, -4.29653333333331, 0.260700000000013, 5.67763666666669, 8.22336000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.92544, 9.15897333333336, 6.40984000000004
-2.48730999999996, -1.58601999999997, 2.52800000000002, 8.09695333333337, 10.17059, -10.44504, -8.01489999999995, -1.37099999999998, 3.96788000000003, 5.55208, -6.44957999999997, -4.29653333333331, 0.354500000000029, 5.88437000000001, 8.15226000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.86188000000003, 9.15528000000003, 6.30341000000003
-2.86763999999997, -1.58679333333331, 2.5951, 8.83163333333335, 10.34065, -10.05319, -8.06123999999996, -1.25199999999995, 3.97308, 6.31366000000002, -6.38119999999997, -4.36070999999998, 0.544700000000005, 6.33360666666668, 8.505475, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.71180666666672, 9.09404666666667, 6.30341000000003
-3.38137999999996, -1.84636666666666, 2.88650000000001, 9.37652000000003, 10.71803, -9.85853999999998, -8.59155333333331, -0.954099999999984, 4.86740000000004, 6.89427000000004, -6.42998999999997, -4.89592999999997, 0.719150000000041, 6.69296333333335, 8.55069000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.66398000000001, 8.98246666666671, 6.25166000000003
-3.3926, -1.93784666666666, 3.04750000000001, 9.37652000000003, 11.45473, -9.60691999999995, -8.42945999999999, -0.746899999999982, 4.06459333333334, 6.99561000000004, -6.53794999999998, -5.22397999999996, 1.23565000000002, 6.69296333333335, 8.98276500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.7921266666667, 9.17741333333334, 6.33360666666669
-3.3926, -2.4995333333333, 2.88650000000001, 9.35872666666669, 11.45725, -9.60439999999997, -8.73248666666664, -0.687299999999994, 3.92544, 6.89427000000004, -6.53794999999998, -5.67501333333331, 1.39275000000003, 6.69296333333335, 8.98276500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.95192666666668, 9.28961333333337, 6.57218000000002
-4.59250999999998, -2.98158666666665, 2.88650000000001, 9.18108000000002, 11.28262, -10.81632, -8.99208666666664, -0.674999999999956, 3.30284000000001, 5.97526, -7.32246499999996, -6.10454333333332, 1.18965, 6.25166000000002, 7.67590500000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.92544, 9.29342666666668, 6.57218000000002
-5.41112999999996, -3.27152666666664, 2.7167, 8.60548666666668, 9.81855999999999, -11.08679, -9.40987333333333, -0.936699999999974, 3.21820000000002, 4.78208000000002, -7.76152999999997, -6.38333666666664, 0.9855, 5.6581766666667, 7.30767, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.94448666666668, 9.35872666666669, 6.59092000000001
-5.41112999999996, -3.27152666666664, 2.66670000000005, 8.47804666666667, 9.43029000000002, -11.32772, -10.30716, -0.936699999999974, 2.99063333333335, 3.83815000000002, -8.33386499999999, -6.75733333333331, 0.9855, 5.48702000000001, 6.73413500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.97264000000004, 9.57786000000004, 6.67075000000002
-5.28069999999996, -3.24894666666664, 2.7167, 9.17741333333333, 10.04787, -11.81522, -10.91398, -1.13829999999996, 3.3060466666667, 4.81231000000003, -8.38381499999998, -6.77049666666664, 0.789200000000021, 6.25166000000002, 7.53948500000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.91780000000003, 9.52697333333335, 6.60005000000003
-5.03734999999998, -3.28921999999997, 2.84870000000001, 9.55114666666668, 11.00455, -11.98608, -11.0328133333333, -1.08429999999999, 4.21939333333336, 5.15578000000003, -8.620615, -6.79237999999998, 0.83140000000003, 6.61225000000002, 7.75757000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.74680000000004, 9.52697333333335, 6.59092000000001
-4.91372999999996, -3.17271333333332, 3.26620000000002, 9.83263333333336, 11.14994, -11.81782, -11.0328133333333, -1.10969999999998, 4.22314666666669, 5.8705, -8.608395, -6.79237999999998, 1.23580000000001, 6.94053000000001, 8.32607000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.70166000000005, 9.57786000000004, 6.57187333333336
-5.03734999999998, -3.10543999999999, 3.48690000000005, 10.58774, 11.26119, -11.81782, -10.6252933333333, -0.659699999999988, 4.61892666666668, 6.31160000000002, -8.35802999999998, -6.88912999999996, 1.70710000000002, 7.69290333333334, 8.46994500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.70977333333337, 9.52697333333335, 6.57126000000003
-5.88097999999997, -3.26104666666666, 4.20330000000001, 10.7005866666667, 11.26119, -11.8477, -10.5751733333333, -0.14349999999996, 4.66182000000002, 6.31160000000002, -8.70383499999998, -7.18028333333331, 1.90545000000003, 7.69290333333334, 8.896095, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.70166000000005, 9.57786000000004, 6.50768000000003
-5.88097999999997, -3.84561333333329, 4.20330000000001, 10.3840466666667, 11.07163, -11.85358, -10.37464, 0.0609000000000034, 4.22468000000003, 5.87307, -8.74851999999998, -7.1044333333333, 1.93750000000003, 6.97190333333336, 7.78405500000004, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.78091333333334, 9.59906666666671, 6.5889066666667
-5.93409999999996, -3.29190666666664, 3.95980000000003, 9.58442000000002, 10.67887, -12.33846, -11.1427866666666, -0.130499999999984, 3.10777333333337, 4.65885000000002, -8.89324499999997, -7.18028333333331, 1.82490000000004, 6.27299666666667, 7.68693500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.8683066666667, 9.76666666666668, 6.60997666666669
-5.93409999999996, -3.88699999999996, 4.03460000000001, 9.6667266666667, 10.59202, -12.69068, -11.3567866666666, 0.151900000000011, 3.0285466666667, 4.46296000000003, -8.89324499999997, -7.48170999999997, 1.93750000000003, 6.15424, 7.13630500000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.85964000000004, 9.8197066666667, 6.60997666666669
-6.10563999999998, -3.88699999999996, 4.15050000000002, 9.61352666666669, 10.53774, -12.84031, -11.82888, 0.0375000000000203, 3.13699333333337, 4.49214000000004, -9.23317499999997, -7.65889999999997, 1.89270000000002, 6.15424, 7.04968000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.96930666666671, 9.83263333333336, 6.60997666666669
-5.71648999999998, -3.39155999999999, 3.90950000000004, 9.3828466666667, 10.58832, -13.04653, -11.84968, -0.329999999999986, 3.33612666666671, 4.33570000000003, -9.23317499999997, -7.48170999999997, 1.71045000000001, 6.15159666666669, 7.04968000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.96930666666671, 9.83623333333338, 6.73481333333334
-6.09061999999998, -3.61209333333333, 3.98060000000004, 9.82037333333336, 10.78072, -12.84031, -11.3714333333333, -0.5659, 3.8637466666667, 4.85051000000001, -9.23317499999997, -7.48170999999997, 1.71045000000001, 6.58461333333337, 7.88930500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.70977333333337, 9.82037333333337, 6.58461333333337
-6.72185999999998, -4.30995999999996, 4.08870000000002, 10.1695, 11.896, -13.02339, -10.9732733333333, -0.483900000000007, 4.06042000000004, 5.95068000000003, -9.71792999999999, -7.33833666666663, 1.84550000000002, 6.8660866666667, 8.10216000000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.39355333333338, 9.59906666666671, 6.42613666666668
-7.48748999999998, -4.50869999999999, 4.16520000000003, 9.82037333333336, 12.07941, -13.36401, -10.9285533333333, -0.483900000000007, 4.06042000000004, 6.25026000000001, -10.12744, -7.35575666666663, 1.81995000000003, 6.74829333333334, 8.64934999999999, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.40178666666672, 9.74259333333336, 6.52437333333336
-7.73617999999999, -5.32597333333329, 4.08870000000002, 9.79626000000003, 12.29631, -13.95489, -11.0931333333333, -0.341499999999997, 3.63204000000004, 6.25026000000001, -10.672035, -8.3120633333333, 2.01070000000001, 6.54424000000002, 9.34111499999999, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.55376000000005, 9.85306000000003, 6.60152666666671
-9.02233999999999, -5.57306666666664, 4.24240000000003, 9.58496000000002, 12.29622, -14.2837, -10.88822, -0.192399999999964, 3.11156666666669, 6.44952000000004, -11.687395, -8.3120633333333, 2.08215000000001, 6.31608333333336, 9.342575, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.6936466666667, 9.96142666666671, 6.69283000000001
-9.10116999999997, -7.37838666666663, 4.2808, 9.48270000000002, 11.45365, -15.26243, -13.3594, 0.0315000000000492, 2.77731333333338, 6.13796999999998, -12.542975, -9.88116666666666, 2.18260000000001, 5.99490000000002, 8.62955500000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.94668666666667, 10.1101666666667, 6.93446666666668
-9.10022999999998, -5.81776, 4.32870000000003, 8.98693333333337, 10.72964, -14.30816, -11.8236266666666, 0.316400000000044, 2.90841333333335, 4.88888000000003, -12.28926, -8.81911999999998, 2.28730000000004, 5.97479333333336, 7.76589500000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 4.01024666666669, 10.1699600000001, 6.99509333333337
-8.90727999999996, -3.98207999999997, 4.36920000000003, 9.66303333333333, 10.72964, -14.2837, -11.0781733333333, 0.627800000000035, 3.18945333333336, 4.88888000000003, -11.687395, -7.71713999999999, 2.62765000000002, 6.45111666666668, 7.63738000000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 4.02544666666671, 10.05184, 7.07274666666669
-8.64723999999996, -3.07713333333332, 4.77790000000004, 10.3968333333333, 11.61217, -14.08745, -10.20446, 0.636300000000006, 4.13710666666667, 5.38600000000003, -11.40591, -6.50697333333331, 2.78330000000002, 7.15536333333335, 7.98169000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.94739333333333, 10.05184, 7.07274666666669
-6.14757999999996, -2.53948666666663, 5.31040000000001, 10.6724466666667, 11.79947, -11.58205, -9.04211333333332, 0.636300000000006, 4.32104666666667, 5.55870000000001, -9.46426499999996, -6.34926666666664, 2.86445000000003, 7.37688333333335, 8.46770000000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.94739333333333, 10.0477866666667, 7.07274666666669
-4.99554999999999, -2.59661999999996, 5.36029999999999, 10.79054, 12.05964, -10.7699, -8.22955999999998, 0.636300000000006, 4.32104666666667, 5.55870000000001, -7.59262499999999, -5.3695633333333, 2.87025000000003, 7.39426000000001, 8.70626500000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.76472666666668, 9.99627333333336, 6.83591333333337
-4.16709999999998, -1.57193333333329, 5.39600000000002, 10.97568, 12.14301, -9.57595, -7.48680666666667, 0.505200000000001, 4.24752000000002, 5.90556000000003, -6.47317499999998, -4.74737999999998, 2.87025000000003, 7.39426000000001, 8.82269000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.87046000000002, 10.0303333333333, 6.94355333333335
-3.55148999999999, -0.680339999999967, 5.39600000000002, 10.97568, 12.14291, -9.32048999999997, -7.48680666666667, 0.343299999999999, 4.24752000000002, 6.69193, -6.36701999999997, -4.73135333333332, 2.85860000000002, 7.49015333333336, 9.28469499999999, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.91303333333335, 10.1258533333333, 7.07842333333336
-3.12944999999996, -0.165493333333325, 5.31, 10.0696, 11.71314, -8.95885999999999, -6.84876666666662, 0.216600000000028, 4.15078666666669, 6.44953999999999, -5.70538999999999, -3.46793666666664, 2.78580000000002, 7.33856000000002, 8.86760000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.94739333333333, 10.2856133333334, 7.17843333333334
-2.99751, -0.0258066666666652, 5.0455, 9.98041333333335, 11.62547, -9.36754999999997, -6.21801999999999, 0.205399999999997, 3.76726, 5.55768, -5.70538999999999, -2.89311999999998, 2.7219, 7.07274666666669, 8.396255, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.93078000000002, 10.2701466666667, 7.15536333333335
-2.08514999999999, 0.257826666666702, 5.0455, 9.27453333333337, 10.58816, -9.58505, -6.16817999999998, 0.216600000000028, 3.57639333333336, 5.39370000000003, -5.26844999999998, -2.77983333333332, 2.78580000000002, 6.19603000000002, 7.92884000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.91303333333335, 10.25558, 7.11681000000001
-1.81042999999996, 0.220906666666708, 5.0455, 9.58426000000001, 10.99827, -9.35945999999997, -6.09009999999998, 0.476400000000012, 3.57639333333336, 5.09556000000001, -4.96548999999997, -2.77983333333332, 2.9394, 6.49036666666668, 7.92884000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.75856666666667, 10.2856133333334, 7.08769333333334
-1.81042999999996, 0.370006666666669, 5.14030000000002, 10.0801133333334, 10.99887, -8.24197, -6.07395999999998, 0.781900000000005, 3.59232666666668, 5.01576000000004, -4.57301999999998, -2.65706666666665, 3.00495000000004, 7.05692333333334, 7.96407000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.72904000000003, 10.25558, 6.99832666666667
-2.08166999999999, 0.297946666666705, 5.4307, 10.3250533333334, 11.19203, -10.22455, -6.01972666666663, 1.0496, 3.75856666666667, 5.01576000000004, -5.03726499999998, -2.65706666666665, 3.15780000000001, 7.28956333333334, 8.04297000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.65194, 10.0772733333334, 6.71284000000003
-2.08166999999999, 0.297946666666705, 5.76910000000004, 10.27036, 11.19203, -10.22455, -6.07395999999998, 1.0496, 3.68635333333337, 4.89350000000004, -5.03726499999998, -2.65706666666665, 3.29840000000001, 7.08201666666669, 8.01262000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.57639333333336, 9.96635333333335, 6.61348333333337
-2.73434999999997, 0.655620000000014, 5.94120000000003, 10.4038333333333, 11.32588, -10.56587, -5.83937333333329, 1.10770000000002, 3.66831333333337, 4.82501000000003, -6.55265499999997, -1.88044999999998, 3.48835000000002, 7.08201666666669, 8.04297000000002, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.58987333333335, 9.73486666666668, 6.44918333333336
-2.65655999999997, 1.48722666666671, 6.25260000000003, 10.4020466666667, 11.15042, -11.08853, -5.84307999999996, 1.04650000000004, 3.5517866666667, 4.71924000000001, -6.55265499999997, -1.93694333333331, 3.48835000000002, 6.62476333333337, 8.01262000000001, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.57639333333336, 9.73486666666668, 6.44918333333336
-2.65655999999997, 0.925446666666675, 6.25060000000002, 9.82827333333336, 10.95733, -11.08853, -6.66754666666664, 0.960100000000011, 3.54564666666671, 4.32252000000003, -6.55265499999997, -2.84098333333331, 3.48835000000002, 6.35672666666669, 7.783755, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.57639333333336, 9.89146000000003, 6.50093333333336
-1.15013999999998, 0.75870000000004, 6.04610000000002, 9.37690000000004, 10.77086, -11.08853, -6.66754666666664, 0.781200000000012, 3.42895333333334, 3.75164, -5.72965999999996, -2.64253999999998, 3.48985000000002, 6.25211666666669, 6.70414000000003, 1.1566587024, 1.30867056, 3.475993824, 13.24194912, 19.118292192, 36.6829313184, 3.63375333333334, 10.1188533333333, 6.62440333333336
