"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Paris_rcp85"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
2090, 33.1998038095238, 38.545, 5, 9, 33
2091, 32.8450739583334, 42.2841, 8, 8, 35
2092, 34.4011132222222, 44.2592, 10, 18, 81
2093, 34.191059025974, 47.6538, 7, 11, 39
2094, 33.0955863888889, 43.4982, 6, 12, 31
2095, 34.6729773809524, 38.7812, 7, 6, 29
2096, 33.0378146378969, 41.9378, 8, 9, 48
2097, 32.3542047348485, 42.8591, 6, 11, 35
2098, 34.7884327619048, 40.0946, 5, 7, 26
2099, 35.0861033730159, 38.4333, 6, 7, 30
2100, 34.3642986904762, 44.2643, 6, 14, 43
