tmax_q5, tmax_q10, tmax_q50, tmax_q90, tmax_q95, tmin_q5, tmin_q10, tmin_q50, tmin_q90, tmin_q95, tavg_q5, tavg_q10, tavg_q50, tavg_q90, tavg_q95, prec_q5, prec_q10, prec_q50, prec_q90, prec_q95, prec_q99, HW_TN90, HW_TX90, HW_TAVG90
-5.30543999999996, -4.32615333333329, 3.16650000000004, 8.21332000000004, 9.74437000000004, -15.57952, -10.2879466666666, -3.38849999999997, 0.706033333333353, 1.88962000000003, -10.41875, -7.04090666666665, -0.095999999999977, 4.25483666666668, 5.23518500000001, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.608293333333362, 8.92465333333335, 4.55511000000005
-5.13583999999998, -3.6764533333333, 3.24010000000004, 8.16825333333335, 9.47234000000004, -15.50957, -10.17128, -3.52539999999999, 0.721893333333343, 1.78128, -10.27385, -7.04090666666665, 0.0983000000000227, 4.35672000000003, 5.24952000000001, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.515286666666715, 8.92465333333335, 4.53390333333336
-5.27227999999996, -3.64035999999996, 3.30160000000001, 8.4767266666667, 10.04706, -15.37541, -10.17128, -3.43129999999997, 0.706033333333353, 1.64275000000005, -10.27385, -6.76845999999998, 0.110350000000039, 4.35672000000003, 5.24952000000001, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.515286666666715, 8.92465333333335, 4.41790333333338
-5.69626, -3.99003333333329, 3.30160000000001, 8.4767266666667, 10.38581, -15.56609, -11.2344733333333, -3.59129999999999, 0.344566666666681, 1.58701000000003, -10.276225, -8.23233333333331, 0.110350000000039, 4.18800000000001, 5.177125, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.255326666666675, 8.74845333333337, 4.30631666666668
-5.90251999999999, -3.99003333333329, 2.95960000000002, 8.95888000000004, 10.4579, -15.71927, -12.2138933333333, -3.71519999999998, 0.231666666666698, 1.29224000000002, -10.57822, -8.23233333333331, -0.23924999999997, 4.33855666666668, 5.24952000000001, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.220440000000032, 8.65224666666668, 4.17740333333335
-5.90251999999999, -3.446, 2.18640000000005, 8.95888000000004, 10.42117, -15.71927, -11.2315333333333, -3.87739999999997, -0.331759999999994, 0.774600000000033, -10.57822, -7.59589333333331, -0.956599999999953, 4.10364333333335, 5.177125, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.0973066666667086, 8.54233333333335, 4.17296333333336
-6.03346999999998, -3.446, 1.49290000000002, 8.98217333333334, 10.42117, -15.70598, -11.1558533333333, -4.09959999999995, -0.467013333333304, 0.492330000000021, -10.57822, -6.97766333333331, -1.25719999999998, 3.98642666666668, 4.91087500000002, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.0890133333333817, 8.51991333333336, 4.17296333333336
-6.64294999999996, -3.66558666666664, 1.40410000000003, 8.98217333333334, 10.45916, -15.00345, -11.66088, -4.36319999999995, -0.413646666666663, 0.503640000000021, -9.91655999999998, -7.31884999999998, -1.53399999999996, 3.86543333333336, 4.98631500000001, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.0890133333333817, 8.60061333333335, 4.19132666666668
-5.91222, -3.91709333333333, 1.31570000000005, 8.94546000000005, 9.97279000000001, -14.07118, -11.3276266666666, -4.48139999999995, -0.452453333333313, 0.607070000000009, -9.59827999999997, -7.31884999999998, -1.55594999999997, 3.79448333333335, 4.91087500000002, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, -0.0167466666666553, 8.57258666666669, 4.09918333333335
-5.55321, -3.84346666666665, 1.40410000000003, 8.85776000000003, 9.62581, -12.8878, -11.0248866666666, -4.59499999999997, -0.403426666666667, 0.798280000000021, -9.23620499999998, -7.06489333333331, -1.53399999999996, 4.14167666666669, 4.91371000000002, 1.16665596, 1.397821536, 4.450869648, 18.01060272, 24.56629128, 46.3269456, 0.0315000000000253, 8.8102466666667, 4.14091000000002
