"Description: ","Outliers shown in *boxseries.pdf"
"Station: ","final_1971_2005_Kiev_rcp45"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Date,Prec,TX,TN,DTR
"Prec up"
1979-1-20,22.00716864,1.68510000000003,0.385300000000029,1.2998
1988-1-16,16.18537248,5.20210000000003,1.03390000000002,4.16820000000001
1991-1-15,13.2055056,4.63,0.293000000000006,4.33699999999999
1992-1-19,12.67055136,1.82430000000005,-1.92589999999996,3.75020000000001
1993-1-4,13.1519376,6.76500000000004,4.63600000000002,2.12900000000002
1998-1-29,13.31798112,4.95930000000004,0.816900000000032,4.14240000000001
2002-1-27,13.52464128,5.54660000000001,2.19380000000001,3.3528
2008-1-29,13.55173632,2.7704,-0.240700000000004,3.0111
2010-1-4,14.6414736,5.89350000000002,-1.26229999999998,7.1558
2010-1-28,13.66021152,0.825900000000047,-3.29929999999996,4.12520000000001
2015-1-19,15.63143616,1.17530000000005,-7.31329999999997,8.48860000000002
2015-1-21,22.00716864,1.50350000000003,-0.546999999999969,2.0505
2017-1-24,13.1519376,1.26080000000002,-6.8449,8.10570000000002
2020-1-1,22.00716864,0.21550000000002,-1.09889999999996,1.31439999999998
2021-1-9,22.00716864,0.401700000000005,-0.663999999999987,1.06569999999999
2021-1-15,18.4890384,-7.11379999999997,-10.5226,3.40880000000003
2026-1-11,20.85941376,1.84300000000002,0.120100000000036,1.72289999999998
2026-1-12,14.42264832,3.58080000000001,-0.584900000000005,4.16570000000002
2038-1-9,15.63143616,7.13260000000002,1.20530000000002,5.9273
2039-1-28,22.00716864,8.04970000000003,3.49220000000003,4.5575
2040-1-1,15.57618336,2.79140000000001,-1.30859999999996,4.09999999999997
2042-1-3,13.66021152,2.64250000000004,-5.09549999999996,7.738
2042-1-5,16.9658928,9.21070000000003,5.49960000000004,3.71109999999999
2044-1-18,13.98629376,2.48850000000005,0.371200000000044,2.11730000000001
2044-1-19,13.1519376,1.2072,-1.11429999999996,2.32149999999996
2044-1-28,22.00716864,1.42310000000003,-7.428,8.85110000000003
2046-1-17,22.00716864,0.842900000000043,-5.29929999999996,6.1422
2047-1-30,13.9318704,1.29760000000005,-10.7943,12.0919000000001
2050-1-5,14.80586688,1.40700000000004,0.221699999999998,1.18530000000004
2055-1-20,16.29657792,1.64980000000003,-2.99899999999997,4.6488
2056-1-17,21.81093696,2.4248,-0.157600000000002,2.5824
2058-1-3,22.00716864,0.853600000000029,-5.0213,5.87490000000003
2060-1-19,17.6961456,-7.59269999999998,-12.3703,4.77760000000002
2061-1-24,14.75095968,8.86250000000001,1.26440000000002,7.59809999999999
2062-1-17,14.58667008,1.3236,-0.504799999999989,1.82839999999999
2062-1-18,22.00716864,2.29240000000004,0.364599999999996,1.92780000000004
2063-1-19,22.00716864,9.67060000000004,5.54700000000003,4.12360000000001
2069-1-29,18.88811136,5.0718,1.98060000000004,3.09119999999996
2076-1-9,22.00716864,2.59500000000003,0.529700000000048,2.06529999999998
2079-1-26,15.9636096,-0.733599999999967,-10.5006,9.76700000000003
2081-1-14,15.63143616,6.18150000000003,2.36350000000005,3.81799999999998
2081-1-21,18.20501568,1.82380000000001,0.0793000000000461,1.74449999999996
2084-1-2,15.13536192,7.20330000000001,-1.4298,8.63310000000001
2086-1-7,15.57618336,5.55070000000001,1.59350000000001,3.9572
2086-1-8,20.56586112,5.67060000000004,0.79970000000003,4.87090000000001
2088-1-23,13.57889184,2.91540000000003,0.0044000000000323,2.911
2089-1-15,14.69613024,9.03360000000004,-0.718099999999993,9.75170000000003
2092-1-26,13.9318704,9.09710000000001,1.07430000000005,8.02279999999996
2094-1-27,22.00716864,4.25600000000003,-0.801299999999969,5.0573
2098-1-16,22.00716864,1.23080000000004,-0.637,1.86780000000004
2098-1-31,18.26166816,5.10450000000003,1.46900000000005,3.63549999999998
1972-2-18,21.5756352,1.97240000000005,-2.39109999999999,4.36350000000004
1973-2-6,24.455304,1.91520000000003,-6.0163,7.93150000000003
1973-2-8,27.21538656,1.77570000000003,-1.05519999999996,2.83089999999999
1978-2-9,27.21538656,2.1182,-0.219699999999989,2.33789999999999
1978-2-18,19.9364112,7.0917,2.10770000000002,4.98399999999998
1978-2-22,24.14855808,3.5754,-1.1173,4.6927
1979-2-15,27.21538656,5.16580000000005,1.75810000000001,3.40770000000004
1983-2-1,20.75367744,2.29450000000003,-1.517,3.81150000000003
1983-2-14,22.47764256,7.02170000000001,0.881200000000035,6.14049999999997
1983-2-15,27.21538656,6.85590000000002,3.24720000000002,3.6087
1986-2-3,27.21538656,1.32280000000003,-0.544399999999996,1.86720000000003
1999-2-12,27.21538656,1.59360000000004,-5.15539999999999,6.74900000000003
1999-2-23,22.02579648,2.48580000000004,-1.67939999999999,4.16520000000003
2002-2-24,27.21538656,6.89390000000003,0.652700000000038,6.24119999999999
2004-2-20,27.21538656,5.47150000000005,-0.10899999999998,5.58050000000003
2015-2-13,27.21538656,0.976700000000051,-2.66299999999995,3.6397
2015-2-18,27.21538656,2.8646,-2.0265,4.8911
2016-2-17,27.21538656,6.40560000000005,-0.931699999999978,7.33730000000003
2016-2-20,22.7040192,2.72840000000002,-3.23179999999996,5.96019999999998
2019-2-10,27.21538656,5.98920000000004,1.01420000000002,4.97500000000002
2020-2-5,27.21538656,2.19720000000001,0.236100000000022,1.96109999999999
2023-2-23,27.21538656,6.90280000000001,2.83520000000004,4.06759999999997
2023-2-26,27.21538656,8.96130000000005,3.51250000000005,5.4488
