"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
txgt50p,DJF,1971,2100,0.104490408316365,0.169485189298871,0.230414746543779
txgt50p,MAM,1971,2100,0.0185688992529256,0.0756048387096774,0.133333333333333
txgt50p,JJA,1971,2100,0.12450481041313,0.181712094690339,0.248335893497184
txgt50p,SON,1971,2100,0.140612076095947,0.20039100684262,0.260188503916102
tx10p,annual,1971,2100,-0.0878117316473481,-0.0731850117096019,-0.0589361510837669
tx10p,monthly,1971,2100,-0.00161290322580645,0,0
tx10p,DJF,1971,2100,-0.0694722794734416,-0.0451886582324421,-0.022878059940517
tx10p,MAM,1971,2100,-0.0797772818466671,-0.0540023894862605,-0.0290613193839
tx10p,JJA,1971,2100,-0.0960061443932412,-0.0669056152927121,-0.0413564929693962
tx10p,SON,1971,2100,-0.100889419885836,-0.0781178200533039,-0.0563689976867739
tx90p,annual,1971,2100,0.0801871032408954,0.099626400996264,0.119696768187259
tx90p,monthly,1971,2100,0.00499350843902926,0.00634433143770419,0.0076804915514593
tx90p,DJF,1971,2100,0.0813623052618762,0.110681369321922,0.144340272260183
tx90p,MAM,1971,2100,0.0124843945068664,0.0457119110695548,0.0800707655546365
tx90p,JJA,1971,2100,0.0687784558752301,0.109318996415771,0.152247542007826
tx90p,SON,1971,2100,0.0592177029764689,0.092642373556352,0.12763353439986
tn10p,annual,1971,2100,-0.0875190258751903,-0.0790977368565511,-0.0680365296803653
tn10p,monthly,1971,2100,-0.00374223486265998,-0.00288850375505488,-0.000981084687230198
tn10p,DJF,1971,2100,-0.0773686213165349,-0.0526667463523473,-0.0267023636871991
tn10p,MAM,1971,2100,-0.0949820788530466,-0.07168458781362,-0.0477897252090801
tn10p,JJA,1971,2100,-0.0977517106549365,-0.0786782061369001,-0.0603659686851538
tn10p,SON,1971,2100,-0.0915969733174034,-0.0694444444444444,-0.04778972520908
tn90p,annual,1971,2100,0.0929549902152642,0.108538408696004,0.126619271600799
tn90p,monthly,1971,2100,0.00659728189467893,0.0078232977807912,0.00908265213442325
tn90p,DJF,1971,2100,0.055710607732416,0.0915750915750916,0.125874722648916
tn90p,MAM,1971,2100,0.0676357360945174,0.0985663082437276,0.132168458781362
tn90p,JJA,1971,2100,0.110754471370745,0.150261924455473,0.189964157706093
tn90p,SON,1971,2100,0.0600419379221222,0.0911418330773169,0.12226204699323
tmge5,annual,1971,2100,0.157894736842105,0.214285714285714,0.267441860465116
tmge5,monthly,1971,2100,0,0,0
tmge5,DJF,1971,2100,0.0277777777777778,0.0466666666666666,0.0655737704918033
tmge5,MAM,1971,2100,0,0,0.00606060606060607
tmge5,JJA,1971,2100,0,0,0
tmge5,SON,1971,2100,0.00673400673400675,0.0133333333333333,0.0201149425287357
tmlt5,annual,1971,2100,-0.266666666666667,-0.215189873417722,-0.16
tmlt5,monthly,1971,2100,0,0,0
tmlt5,DJF,1971,2100,-0.0656565656565656,-0.0466666666666667,-0.0277777777777778
tmlt5,MAM,1971,2100,-0.00606060606060606,0,0
tmlt5,JJA,1971,2100,0,0,0
tmlt5,SON,1971,2100,-0.0202020202020202,-0.0133333333333333,-0.00673400673400673
tmge10,annual,1971,2100,0.222222222222222,0.272727272727273,0.329268292682927
tmge10,monthly,1971,2100,0,0,0
tmge10,DJF,1971,2100,0.0204081632653061,0.0308641975308642,0.041025641025641
tmge10,MAM,1971,2100,0.0200803212851406,0.0338164251207729,0.0469483568075118
tmge10,JJA,1971,2100,0,0,0
tmge10,SON,1971,2100,0.0175438596491228,0.0277777777777778,0.0375586854460094
tmlt10,annual,1971,2100,-0.326530612244898,-0.272727272727273,-0.222222222222222
tmlt10,monthly,1971,2100,0,0,0
tmlt10,DJF,1971,2100,-0.0412698412698413,-0.0310077519379845,-0.0208333333333333
tmlt10,MAM,1971,2100,-0.047008547008547,-0.0338164251207729,-0.0200803212851406
tmlt10,JJA,1971,2100,0,0,0
tmlt10,SON,1971,2100,-0.0376344086021505,-0.0277777777777778,-0.0175438596491228
txge30,annual,1971,2100,0.106382978723404,0.152173913043478,0.2
txge30,monthly,1971,2100,0,0,0
txge30,DJF,1971,2100,0,0,0
txge30,MAM,1971,2100,0,0,0
txge30,JJA,1971,2100,0.0869565217391304,0.129032258064516,0.173913043478261
txge30,SON,1971,2100,0,0,0
txge35,annual,1971,2100,0.0135135135135135,0.03125,0.0526315789473684
txge35,monthly,1971,2100,0,0,0
txge35,DJF,1971,2100,0,0,0
txge35,MAM,1971,2100,0,0,0
txge35,JJA,1971,2100,0.0128205128205128,0.0297029702970297,0.0491803278688525
txge35,SON,1971,2100,0,0,0
tx95t,NA,1971,2100,0.00299741228070167,0.0143692836257313,0.0257411403508771
