"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Moscow_rcp45"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -19.6378154840721, -39.3767061054498, 1, 3, 3
1972, -99.9, -99.9, 0, -99.9, 0
1973, -17.4149033884555, -31.6666048135222, 1, 4, 4
1974, -7.7181409016436, -12.906437993186, 1, 7, 7
1975, -25.6544218505525, -114.852254163411, 3, 15, 24
1976, -40.6635830435433, -171.072242744475, 3, 7, 13
1977, -44.8891396274157, -121.972754628942, 4, 7, 21
1978, -101.261711029302, -446.177706342258, 3, 7, 16
1979, -141.178605012625, -267.686505532283, 1, 7, 7
1980, -15.8843584101678, -38.7533177242248, 3, 4, 12
1981, -99.9, -99.9, 0, -99.9, 0
1982, -48.6297754255115, -75.3639163891833, 2, 4, 7
1983, -99.9, -99.9, 0, -99.9, 0
1984, -22.222590944209, -58.5051500697665, 4, 6, 18
1985, -52.422341999074, -240.773500190439, 4, 9, 21
1986, -33.9486395141207, -59.7956596832027, 2, 8, 11
1987, -79.7096384828884, -149.933152584517, 1, 7, 7
1988, -26.003130234163, -45.1161502684832, 1, 4, 4
1989, -12.4246267743981, -17.2660522478248, 1, 6, 6
1990, -17.1595658384593, -24.581146356275, 1, 3, 3
1991, -72.199761574136, -146.2619127333, 2, 7, 10
1992, -61.2906758977682, -141.745406325522, 3, 4, 12
1993, -21.5858960101031, -49.8781768824332, 3, 15, 23
1994, -51.1716589889133, -138.641186444933, 3, 11, 19
1995, -88.4465385039896, -148.156611509547, 1, 13, 13
1996, -42.3632660569953, -124.04451722325, 3, 12, 21
1997, -25.8272297257376, -230.000866860167, 5, 9, 26
1998, -27.1979306805904, -152.00566077515, 5, 6, 18
1999, -25.5179511299044, -84.586542060961, 3, 9, 15
2000, -19.1919292185545, -57.436891413597, 2, 5, 9
2001, -38.6278486869877, -97.4546648888333, 2, 9, 13
2002, -52.0399155464475, -80.3776123447387, 1, 7, 7
2003, -44.3002494537214, -80.3776123447387, 3, 9, 15
2004, -13.5015600109327, -21.113491733736, 1, 5, 5
2005, -19.8313640015757, -115.1566385836, 8, 12, 40
2006, -26.1520407918287, -68.0017401322, 1, 19, 19
2007, -26.0687757760837, -65.4845267428749, 4, 16, 35
2008, -19.4459761034642, -38.3340454329803, 2, 3, 6
2009, -22.3540231415021, -45.2741070646942, 1, 5, 5
2010, -24.0044936485113, -89.6774505857999, 2, 16, 21
2011, -99.9, -99.9, 0, -99.9, 0
2012, -37.2428220393703, -83.6013625387749, 4, 6, 18
2013, -36.5969808104044, -88.3295094606165, 4, 6, 19
2014, -27.0295858411792, -102.0365336647, 4, 19, 30
2015, -20.7263759754491, -102.0365336647, 3, 13, 23
2016, -86.8972410791406, -241.02371619688, 1, 14, 14
2017, -27.5225954811019, -63.9279253912667, 3, 6, 13
2018, -99.9, -99.9, 0, -99.9, 0
2019, -99.9, -99.9, 0, -99.9, 0
2020, -16.1649898235609, -41.7213502563221, 4, 15, 26
2021, -27.3631829504888, -82.525799944272, 1, 34, 34
2022, -99.9, -99.9, 0, -99.9, 0
2023, -99.9, -99.9, 0, -99.9, 0
2024, -99.9, -99.9, 0, -99.9, 0
2025, -31.2316739831865, -97.8476590006889, 1, 14, 14
2026, -19.9646907400778, -36.7743323048667, 1, 6, 6
2027, -41.1355483321979, -195.931864589711, 2, 22, 25
2028, -11.6853931178727, -48.3916221448915, 1, 10, 10
2029, -60.667442945474, -93.6296071925499, 1, 3, 3
2030, -39.4909494213273, -76.4522586727082, 1, 7, 7
2031, -99.9, -99.9, 0, -99.9, 0
2032, -22.4936291366303, -70.8105066577277, 2, 8, 12
2033, -23.8195990443369, -70.8105066577277, 2, 6, 10
2034, -71.8420464526902, -112.293532483367, 1, 4, 4
2035, -39.6810560074835, -69.0989548576471, 2, 7, 11
2036, -99.9, -99.9, 0, -99.9, 0
2037, -29.1007507048917, -70.6098505664445, 2, 4, 7
2038, -99.9, -99.9, 0, -99.9, 0
