"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","final_1971_2005_Berlin_rcp45"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -99.9
1971-07, -99.9
1971-08, -99.9
1971-09, -99.9
1971-10, -99.9
1971-11, -99.9
1971-12, -99.9
1972-01, -99.9
1972-02, -99.9
1972-03, -99.9
1972-04, -99.9
1972-05, -99.9
1972-06, -99.9
1972-07, -99.9
1972-08, -99.9
1972-09, -99.9
1972-10, -99.9
1972-11, -99.9
1972-12, 0.895246545633291
1973-01, 0.836950760575217
1973-02, 0.694986014062254
1973-03, 0.922084497296926
1973-04, 0.85150320348968
1973-05, 0.708549370529785
1973-06, 0.644041775548784
1973-07, 0.118287017347341
1973-08, 0.600703335031321
1973-09, 0.901031467783087
1973-10, 0.963017183968311
1973-11, 1.0211453082202
1973-12, 1.07891236552484
1974-01, 0.992761557486149
1974-02, 1.33465566679664
1974-03, 1.28100529374627
1974-04, 0.95651785561253
1974-05, 0.505555315040936
1974-06, 0.494739937484648
1974-07, 0.784940910635481
1974-08, 0.803131514652577
1974-09, 0.801605907174803
1974-10, 0.888891897756744
1974-11, 0.911195131678303
1974-12, 0.918681538916981
1975-01, 0.727234602683539
1975-02, 0.788812150497087
1975-03, 0.620508427281611
1975-04, 0.582239319558698
1975-05, 0.130312739571544
1975-06, 0.30591707169669
1975-07, 0.969872208924521
1975-08, 0.689348009794359
1975-09, 0.581512315275716
1975-10, 0.619199082282734
1975-11, 0.464532234666622
1975-12, 0.615591062755734
1976-01, 0.495382169633548
1976-02, 0.582883115942153
1976-03, 0.501195966423958
1976-04, 0.432761666132125
1976-05, 0.798969217499542
1976-06, 0.839459994179911
1976-07, 0.174684321795388
1976-08, 0.0672432842739469
1976-09, 0.00139255604279345
1976-10, 0.201116996543922
