"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Vienna_rcp45"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, -99.9, -99.9, 0, -99.9, 0
1972, 30.5602288888889, 34.852, 3, 5, 13
1973, 33.0907366666667, 38.3582, 2, 5, 8
1974, 31.5287666666667, 32.8163, 2, 6, 9
1975, -99.9, -99.9, 0, -99.9, 0
1976, 29.1785428571429, 32.7385, 1, 7, 7
1977, -99.9, -99.9, 0, -99.9, 0
1978, 27.0689111111111, 32.9944, 3, 3, 7
1979, 31.7090965277778, 37.0012, 4, 9, 19
1980, 30.3704333333334, 35.9734, 2, 3, 6
1981, 32.8814611111111, 35.6724, 3, 4, 10
1982, 28.4067083333334, 30.2328, 2, 8, 11
1983, 33.6165533333333, 39.3132, 4, 5, 16
1984, 26.881875, 28.2428, 2, 6, 9
1985, -99.9, -99.9, 0, -99.9, 0
1986, 33.61435, 36.5345, 1, 4, 4
1987, 30.9260666666667, 31.2673, 1, 3, 3
1988, 28.9997333333333, 29.3659, 1, 3, 3
1989, -99.9, -99.9, 0, -99.9, 0
1990, -99.9, -99.9, 0, -99.9, 0
1991, 35.4431666666667, 37.5612, 1, 6, 6
1992, -99.9, -99.9, 0, -99.9, 0
1993, 28.2578338888889, 32.7745, 3, 5, 12
1994, -99.9, -99.9, 0, -99.9, 0
1995, 32.4053666666667, 32.9963, 1, 3, 3
1996, -99.9, -99.9, 0, -99.9, 0
1997, 30.1601166666667, 32.7275, 2, 3, 6
1998, -99.9, -99.9, 0, -99.9, 0
1999, 31.3579222222222, 35.9128, 3, 4, 10
2000, 34.2533966666667, 38.6638, 2, 6, 11
2001, 33.6045, 36.0392000000001, 2, 3, 6
2002, 34.9060333333334, 36.9894, 2, 3, 6
2003, 28.7378, 31.9117, 2, 9, 12
2004, 34.4608466666667, 37.356, 2, 5, 8
2005, 34.2437625, 35.4538, 2, 4, 7
2006, 33.2391622222222, 37.0188, 5, 9, 21
2007, 32.2817321825397, 35.85, 8, 9, 37
2008, -99.9, -99.9, 0, -99.9, 0
2009, 31.9341, 35.6699, 1, 6, 6
2010, -99.9, -99.9, 0, -99.9, 0
2011, 32.06154375, 37.512, 4, 6, 17
2012, 31.7744414285714, 40.0015, 6, 14, 36
2013, 30.3901, 30.7138, 1, 3, 3
2014, 34.7379, 36.2198, 1, 3, 3
2015, -99.9, -99.9, 0, -99.9, 0
2016, 30.598035, 35.0031, 5, 4, 18
2017, 27.4672, 28.2124, 1, 4, 4
2018, -99.9, -99.9, 0, -99.9, 0
2019, 30.9205111111111, 34.672, 3, 4, 10
2020, 31.7606027777778, 34.4415, 3, 4, 10
2021, -99.9, -99.9, 0, -99.9, 0
2022, 35.7519097883598, 41.7184, 3, 9, 20
2023, 32.7285267857143, 37.0059, 2, 7, 11
2024, -99.9, -99.9, 0, -99.9, 0
2025, 31.7494342261905, 35.906, 4, 14, 24
2026, 32.0090333333333, 34.9896, 2, 5, 8
2027, 34.1954878571429, 40.3102, 7, 5, 26
2028, -99.9, -99.9, 0, -99.9, 0
2029, 33.3567397619048, 38.8055, 7, 9, 34
2030, 31.8360306547619, 37.8617, 4, 7, 21
2031, 30.474675, 37.0806, 5, 8, 21
2032, 31.3174166666667, 32.7929, 1, 6, 6
2033, 30.135875, 31.2453, 1, 4, 4
2034, 32.2840783333334, 37.0684, 6, 12, 33
2035, -99.9, -99.9, 0, -99.9, 0
2036, 35.0175518518519, 37.4784, 3, 9, 15
2037, 31.9110175, 35.0046, 2, 10, 14
2038, 34.41905, 37.7014, 1, 6, 6
2039, 32.4219880952381, 35.718, 7, 10, 38
2040, 31.7768, 33.9334, 1, 3, 3
2041, 33.3052772222222, 40.2528, 3, 5, 12
2042, 34.3007763333334, 39.7452, 5, 5, 21
2043, 30.0924827380953, 35.9321, 4, 7, 19
2044, 30.1206416666667, 34.7366, 2, 6, 9
2045, 34.9022833333334, 38.7024, 2, 3, 6
2046, 34.3662395833334, 41.7325, 4, 6, 18
