"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Vienna_rcp45"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -11.3253459664159, -37.1993136046001, 2, 10, 16
1972, -20.4451118606305, -101.599857576233, 4, 22, 45
1973, -9.71977955392956, -34.1358439958863, 3, 6, 11
1974, -15.4240088075511, -142.257229142442, 2, 28, 32
1975, -24.5322484669918, -67.2967764225002, 4, 20, 55
1976, -7.89604292165683, -64.20046043355, 4, 14, 30
1977, -9.42704425973547, -42.7483886018249, 4, 32, 54
1978, -14.0886806416824, -124.80345055745, 4, 20, 42
1979, -12.0040778515887, -54.6912468030558, 2, 12, 16
1980, -28.4734378596217, -66.4430676533362, 2, 17, 23
1981, -25.736260855579, -50.7644663659832, 2, 8, 13
1982, -25.5615591912701, -44.6250521042083, 1, 4, 4
1983, -22.9902161935251, -48.5381437152252, 1, 7, 7
1984, -26.752428638737, -76.7849621586583, 3, 25, 44
1985, -4.31414997112907, -14.7984920837667, 2, 11, 14
1986, -46.371048569382, -111.285957790984, 2, 12, 16
1987, -21.2943618553431, -84.4908096177888, 2, 25, 32
1988, -6.77891947751487, -9.08650238633339, 1, 3, 3
1989, -8.04853157448204, -21.0260934051667, 2, 5, 9
1990, -5.30006337043666, -20.4745558073251, 2, 10, 13
1991, -24.2042072676932, -50.3146631299, 1, 11, 11
1992, -10.0550388051324, -12.5275621308055, 2, 3, 4
1993, -24.2214491279343, -72.1812525153502, 2, 5, 8
1994, -11.7007986828293, -60.9002044828918, 4, 17, 25
1995, -52.25466071141, -87.0039129124249, 1, 7, 7
1996, -8.78288029366316, -76.111594675814, 4, 15, 32
1997, -12.0492990401185, -78.3496865991333, 3, 7, 14
1998, -99.9, -99.9, 0, -99.9, 0
1999, -31.5507643734219, -63.220551281403, 2, 9, 13
2000, -9.82799089128044, -22.3506729115667, 2, 11, 15
2001, -14.0240856259739, -34.3821907043556, 2, 12, 18
2002, -4.69607134697448, -9.67810404679172, 1, 5, 5
2003, -4.30264937834645, -13.170329525825, 2, 7, 10
2004, -21.1038129710421, -96.2088819722084, 3, 11, 23
2005, -22.53048936956, -187.465743161775, 8, 31, 83
2006, -8.37851478090955, -65.0644918036667, 5, 11, 26
2007, -10.2364892556313, -65.0644918036667, 6, 7, 32
2008, -17.1716505486131, -37.3195975040167, 2, 7, 13
2009, -7.46832765402471, -50.9092488036417, 2, 30, 33
2010, -20.5976698981309, -90.375996052378, 4, 10, 24
2011, -7.03988204909971, -17.2721120487667, 2, 9, 13
2012, -16.1583337220298, -35.954680405078, 2, 6, 10
2013, -26.5067686766631, -101.80611348935, 2, 10, 15
2014, -7.20844153605537, -22.9016746711335, 2, 6, 9
2015, -28.882917721389, -107.73456310105, 2, 16, 23
2016, -11.5299550648356, -67.5917319844445, 6, 6, 25
2017, -17.74984165514, -56.2336322600195, 2, 7, 11
2018, -19.2870037267276, -87.9225476164916, 2, 12, 17
2019, -8.11441534680002, -19.1521663055556, 1, 6, 6
2020, -5.19429863251565, -11.704420788589, 4, 5, 17
2021, -52.1531802425343, -110.383286971775, 1, 9, 9
2022, -15.4419173914757, -25.0285120754084, 1, 4, 4
2023, -11.3437841210452, -68.2284916883805, 3, 13, 21
2024, -34.77845563155, -79.6323864548332, 1, 17, 17
2025, -16.8677952577583, -64.7160187866084, 3, 5, 12
2026, -13.7974756617375, -58.19472891155, 2, 7, 10
2027, -14.6561572465241, -57.3580144351669, 4, 18, 53
2028, -14.7301908960728, -57.3580144351669, 5, 7, 24
2029, -9.32177549732155, -13.2841835944306, 1, 4, 4
2030, -5.79455053289735, -9.10748095867515, 1, 4, 4
2031, -63.23207416654, -188.247891757028, 1, 30, 30
2032, -18.1877518583891, -65.5606299369363, 4, 25, 45
2033, -25.0579202210752, -54.4351759117945, 1, 15, 15
2034, -99.9, -99.9, 0, -99.9, 0
2035, -41.0507335967188, -102.283923200264, 1, 13, 13
2036, -44.2292197715642, -90.1972651998777, 1, 9, 9
2037, -11.1916668216051, -28.6164784854945, 2, 8, 15
2038, -15.0209985134465, -28.6164784854945, 1, 7, 7
2039, -99.9, -99.9, 0, -99.9, 0
2040, -26.7983459026329, -54.467288485278, 2, 13, 18
2041, -16.2621527854505, -42.9257433149833, 2, 5, 8
2042, -8.60518256769021, -15.9993516046667, 2, 16, 22
2043, -6.99035648680592, -21.1857084556945, 3, 8, 16
2044, -6.00631722745694, -11.7533840094416, 1, 4, 4
2045, -36.8731373054049, -105.3202176521, 2, 7, 12
2046, -9.48577930639864, -23.5328812921806, 2, 3, 6
2047, -15.8777038923847, -66.828162389975, 3, 12, 21
2048, -12.2481266916969, -50.6397797168501, 4, 14, 32
2049, -20.6166608533818, -50.6397797168501, 1, 11, 11
2050, -31.4393868530558, -71.9501691296391, 1, 29, 29
2051, -27.8418847838737, -57.2922877184389, 1, 13, 13
2052, -83.6456861474667, -218.827963004361, 1, 11, 11
