"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Moscow_rcp85"
"Latitude: ","55.75"
"Longitude: ","37.56"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
2089, 29.721592948718, 35.4872, 4, 13, 22
2090, 29.1134291666667, 32.1161, 2, 4, 7
2091, 31.2124174603175, 36.714, 9, 9, 46
2092, 32.9480580733102, 45.4128, 9, 17, 83
2093, 27.7295077777778, 39.1977, 6, 15, 33
2094, 26.5254599206349, 33.2134, 3, 7, 14
2095, 33.6303058818342, 44.1414, 9, 9, 48
2096, 30.1060597001764, 37.6818, 9, 14, 48
2097, 29.5839037037037, 36.9087, 3, 9, 15
2098, 25.8462480392157, 32.851, 4, 17, 26
2099, 30.0350695578231, 37.1757, 7, 7, 32
2100, 27.2018066666667, 31.9918, 2, 5, 8
