"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Madrid_rcp45"
"Latitude: ","40.38"
"Longitude: ","-3.69"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-02"
time, HWM, HWA, HWN, HWD, HWF
1971, -99.9, -99.9, 0, -99.9, 0
1972, -99.9, -99.9, 0, -99.9, 0
1973, 20.7031183333334, 24.5746, 5, 6, 20
1974, -99.9, -99.9, 0, -99.9, 0
1975, -99.9, -99.9, 0, -99.9, 0
1976, 13.721525, 14.8708, 1, 4, 4
1977, -99.9, -99.9, 0, -99.9, 0
1978, -99.9, -99.9, 0, -99.9, 0
1979, 17.5628, 18.4995, 1, 3, 3
1980, 19.82425, 20.2891, 1, 4, 4
1981, 22.0654666666667, 22.3996, 2, 3, 6
1982, -99.9, -99.9, 0, -99.9, 0
1983, -99.9, -99.9, 0, -99.9, 0
1984, 20.7115, 21.7765, 1, 5, 5
1985, 22.9563708333334, 25.7444, 2, 4, 7
1986, 16.4788066666667, 18.9676, 2, 5, 8
1987, 20.236225, 23.314, 2, 4, 7
1988, -99.9, -99.9, 0, -99.9, 0
1989, 23.910875, 25.8652, 1, 4, 4
1990, 19.3252277777778, 23.9595, 3, 6, 12
1991, 16.6595125, 17.9609, 2, 6, 10
1992, -99.9, -99.9, 0, -99.9, 0
1993, -99.9, -99.9, 0, -99.9, 0
1994, -99.9, -99.9, 0, -99.9, 0
1995, -99.9, -99.9, 0, -99.9, 0
1996, -99.9, -99.9, 0, -99.9, 0
1997, 19.2763333333334, 19.6833, 1, 3, 3
1998, 19.2170833333334, 22.1145, 1, 6, 6
1999, 20.0654183333334, 23.9585, 3, 5, 12
2000, 20.1876181428572, 25.4538, 5, 7, 23
2001, 18.1108936507937, 21.845, 3, 7, 13
2002, 22.9367357142857, 23.8254, 2, 7, 10
2003, -99.9, -99.9, 0, -99.9, 0
2004, 17.1173166666667, 20.8752, 2, 3, 5
2005, 20.47641875, 25.2015, 4, 4, 14
2006, -99.9, -99.9, 0, -99.9, 0
2007, 17.8607111111111, 20.2594, 3, 6, 12
2008, 19.9526541666667, 23.4592, 4, 4, 14
2009, 20.5231416666667, 21.9084, 2, 4, 7
2010, -99.9, -99.9, 0, -99.9, 0
2011, 22.4791333333333, 22.8838, 1, 3, 3
2012, 17.9469883333334, 20.2028, 5, 5, 18
2013, 20.3347990740741, 23.826, 3, 9, 17
2014, 19.9240333333334, 25.0286, 3, 6, 16
2015, 21.4013666666667, 23.3634, 3, 5, 11
2016, 20.9823791666667, 21.6703, 2, 8, 14
2017, 19.0997513888889, 22.1091, 3, 8, 14
2018, 21.3552833333334, 24.0868, 2, 15, 18
2019, 20.894525, 21.341, 1, 4, 4
2020, 22.02665, 23.9603, 2, 4, 8
2021, 19.8742666666667, 21.9048, 2, 3, 6
2022, 23.548025, 24.7122, 1, 4, 4
2023, 23.4664466666667, 25.6171000000001, 3, 15, 26
2024, 19.65595, 22.4288, 2, 3, 6
2025, 18.2389, 22.4129, 3, 6, 14
2026, 14.6446916666667, 16.6597, 1, 12, 12
2027, 18.9033333333334, 24.0356, 2, 3, 6
2028, 21.39061875, 24.9448, 4, 7, 23
2029, 20.2753071428572, 24.0343, 2, 7, 12
2030, 20.4183569444445, 23.7173, 6, 4, 20
2031, -99.9, -99.9, 0, -99.9, 0
2032, 20.1306370707071, 24.6037, 5, 11, 30
2033, 22.611541025641, 26.5666000000001, 5, 13, 34
2034, 22.5137973333334, 23.8252, 5, 6, 23
2035, 18.9029166666667, 23.3132, 4, 4, 14
2036, 20.8938483333334, 24.6233, 5, 5, 18
2037, 21.1021694047619, 25.3343, 7, 8, 33
2038, 22.339052, 23.9506, 5, 10, 26
2039, 21.5643773809524, 27.302, 7, 8, 32
2040, 21.1587125, 24.5518, 7, 8, 34
2041, 19.4100979166667, 23.6217, 6, 8, 29
2042, 21.8012014972528, 25.2587, 4, 13, 29
2043, 20.0003616170635, 24.6445000000001, 8, 14, 49
2044, 21.6386175, 25.0971, 8, 6, 32
2045, 22.4184277777778, 25.5581, 3, 6, 13
2046, 20.3049791666667, 23.1627, 6, 6, 23
2047, 22.2581791666667, 24.4286, 4, 6, 18
2048, 21.6023723630536, 23.3644, 4, 13, 35
2049, 21.761830952381, 26.6559, 6, 7, 30
2050, 19.6254954166667, 24.7735, 4, 5, 17
2051, 18.0342177741703, 26.5103, 6, 11, 33
2052, 19.3205815295816, 25.2574, 6, 11, 42
2053, 21.570575, 25.937, 3, 6, 14
2054, 22.74109, 26.2491, 5, 4, 19
2055, 21.5685008333334, 25.9566, 9, 8, 49
2056, 19.4586050865801, 23.2215, 7, 15, 50
2057, 21.5934333333334, 25.2311, 4, 6, 16
2058, 21.8561587830688, 27.4978, 9, 14, 55
2059, 21.5575088690476, 26.2735, 6, 8, 32
2060, 21.0825854591837, 24.9256, 7, 8, 36
2061, 19.5545852380953, 24.1036, 5, 10, 27
2062, 18.0586334761905, 22.7637, 5, 12, 31
2063, 20.997490625, 25.5518, 8, 10, 38
2064, 20.9634382492997, 27.2725, 7, 20, 56
2065, 20.1127722222223, 24.5015, 6, 6, 22
2066, 21.9596979166667, 24.6251, 4, 7, 21
2067, 18.6476918981482, 25.0194, 6, 9, 36
2068, 21.9084063988095, 27.2517, 8, 14, 40
2069, 20.691638956599, 25.0312, 11, 13, 63
2070, 19.3860654761905, 26.2349, 4, 7, 18
2071, 21.3907746666667, 24.6137, 5, 6, 25
2072, 21.2454617708334, 24.3385, 8, 8, 40
2073, 23.169346875, 24.3013, 4, 8, 19
2074, 21.0329602083334, 25.1796000000001, 8, 9, 41
2075, 22.8319583185333, 26.1144, 6, 13, 47
2076, 22.0002939285715, 26.4879, 6, 8, 36
2077, 19.9786395833334, 22.9315, 4, 6, 16
2078, 21.6646673263889, 25.5756, 8, 9, 38
2079, 21.2289815714286, 24.7901, 5, 7, 24
2080, 21.3051276949113, 24.6422, 12, 17, 59
2081, 20.5354592676768, 25.7208, 12, 12, 63
2082, 21.4349473445767, 25.7434, 12, 10, 69
2083, 20.5313339583334, 24.71, 8, 9, 35
2084, 23.2767960714286, 24.6644, 4, 10, 28
2085, 21.6131431547619, 23.3682, 6, 14, 41
2086, 20.8255499543017, 26.2679, 9, 19, 72
2087, 20.2925289285714, 26.7527, 8, 7, 39
2088, 22.2936783085318, 24.851, 8, 9, 48
2089, 20.9489801282052, 24.6681, 6, 13, 38
2090, 20.9419725040585, 26.9192, 8, 11, 48
2091, 21.4680191964286, 26.4176, 8, 13, 49
2092, 21.4681670287699, 26.3046000000001, 8, 16, 73
2093, 20.8895469166667, 25.5468, 10, 8, 48
2094, 20.3019001406927, 26.0392000000001, 11, 9, 61
2095, 22.013341468254, 25.3501, 6, 14, 42
2096, 21.9790405914919, 26.0616, 8, 13, 63
2097, 20.8745549659864, 25.5517, 7, 10, 38
2098, 22.27163125, 25.9103, 4, 7, 20
2099, 20.2235663580247, 24.8964, 9, 14, 58
2100, 21.5442878095238, 26.1355, 5, 7, 25
