"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Berlin_rcp85"
"Latitude: ","52.51"
"Longitude: ","13.4"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
2090, 35.4884710476191, 52.0609, 5, 14, 28
2091, 33.3884205555556, 48.1307, 5, 18, 36
2092, 34.0238248922903, 51.0229, 7, 14, 60
2093, 33.4055714285714, 42.2235, 3, 7, 16
2094, 32.800125, 36.0852, 1, 4, 4
2095, 36.7344041666667, 47.8576, 6, 12, 35
2096, 34.4113045634921, 43.839, 6, 7, 31
2097, 33.1320111111111, 41.4172, 3, 9, 15
2098, 29.547275, 32.7173, 1, 4, 4
2099, 32.5758833333334, 38.9175, 4, 9, 23
2100, 35.5253802083334, 45.951, 4, 8, 20
