"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Bucurest_rcp45"
"Latitude: ","44.43"
"Longitude: ","26.1"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -7.64323568335476, -12.3896884542555, 1, 7, 7
1972, -16.4231649626616, -54.7732981593029, 3, 14, 22
1973, -9.71905105271985, -13.104860185175, 2, 4, 7
1974, -12.4773815280964, -38.1222950688501, 2, 7, 13
1975, -11.1520157462535, -38.1222950688501, 3, 6, 15
1976, -13.8838177012284, -77.4552990255113, 2, 13, 18
1977, -10.2510827801131, -53.1263935053307, 4, 14, 30
1978, -16.2961938738434, -47.3906399464166, 2, 18, 27
1979, -18.1264979987302, -27.9898862822083, 1, 8, 8
1980, -9.25854424448334, -118.6676700278, 2, 31, 34
1981, -12.0551240115759, -28.8913872834833, 3, 24, 35
1982, -23.7025499801578, -53.1527912960416, 1, 5, 5
1983, -15.3235870014141, -39.0909319678694, 2, 6, 9
1984, -17.2646362685632, -49.5982717169333, 1, 13, 13
1985, -17.2225327203708, -68.1333420124416, 3, 17, 31
1986, -29.5321550134403, -148.11055938675, 3, 16, 33
1987, -12.1408881490625, -40.4602882477249, 1, 16, 16
1988, -13.633238773301, -21.4977778863973, 1, 3, 3
1989, -1.45087786813146, -2.17881647368055, 1, 3, 3
1990, -15.2724670704926, -46.1832760829582, 3, 11, 23
1991, -16.0697686597444, -29.7459341747666, 3, 4, 11
1992, -11.9553247095151, -26.1619342613917, 2, 3, 5
1993, -27.3111017367871, -41.6802881323056, 1, 3, 3
1994, -5.24660941220318, -14.9898615902444, 3, 4, 10
1995, -94.0696041868634, -205.375210979455, 1, 12, 12
1996, -36.63056945236, -90.5570953062833, 2, 24, 30
1997, -4.40003887957351, -13.9758783536167, 2, 10, 15
1998, -99.9, -99.9, 0, -99.9, 0
1999, -52.8421006180625, -205.695406852639, 2, 13, 21
2000, -10.6497332858933, -35.563452358875, 2, 9, 13
2001, -99.9, -99.9, 0, -99.9, 0
2002, -99.9, -99.9, 0, -99.9, 0
2003, -29.2836228439722, -51.2963378849832, 1, 5, 5
2004, -21.596016213195, -168.818653418661, 4, 11, 28
2005, -27.0055481923008, -130.036432804283, 4, 32, 92
2006, -26.9025481591644, -66.0059318114112, 2, 28, 34
2007, -11.8206540498748, -47.7016187522139, 5, 12, 36
2008, -25.8745090015018, -63.7112437990723, 1, 14, 14
2009, -5.9319557778125, -10.3884555235638, 1, 4, 4
2010, -23.2400203293861, -40.5568787238917, 1, 6, 6
2011, -16.3538402945, -73.2880363848001, 2, 11, 17
2012, -16.9877119899331, -55.2706465673249, 2, 6, 7
2013, -31.0631398759128, -120.88773654115, 2, 8, 16
2014, -32.4455708626929, -95.794474966286, 2, 6, 10
2015, -40.4651597514813, -119.856361242372, 1, 18, 18
2016, -12.8155774933366, -36.8915734776, 3, 5, 11
2017, -17.7596858131859, -40.0193886609752, 2, 5, 9
2018, -20.4858182012207, -167.922810164133, 2, 17, 20
2019, -5.49965209310738, -9.53422145626106, 1, 3, 3
2020, -8.43408156914793, -49.2295656842779, 3, 20, 26
2021, -38.2782790863506, -216.639513052875, 3, 9, 16
2022, -99.9, -99.9, 0, -99.9, 0
2023, -15.8779330043615, -118.752788159161, 2, 30, 44
2024, -14.2491901751741, -132.899621731175, 3, 30, 45
2025, -27.937534797347, -190.666680123772, 2, 16, 20
2026, -15.8052066385866, -46.0002866928304, 2, 5, 6
2027, -67.3870866910008, -316.47067463957, 2, 26, 30
2028, -15.6755304686234, -187.484379421575, 2, 33, 36
2029, -99.9, -99.9, 0, -99.9, 0
2030, -14.0187998498437, -24.9596465189749, 1, 4, 4
2031, -17.3562931997433, -63.8298357022806, 1, 15, 15
2032, -35.8607665578006, -168.779503968542, 2, 14, 17
2033, -65.7379874741067, -168.779503968542, 1, 13, 13
2034, -15.2593338253942, -46.2357216797333, 1, 10, 10
2035, -6.28029257252368, -12.5405846071417, 2, 6, 9
2036, -44.5863238840132, -109.512971963867, 1, 13, 13
2037, -20.2032129592116, -31.2996290095388, 1, 5, 5
2038, -7.97757726131318, -13.4134815865695, 1, 4, 4
2039, -99.9, -99.9, 0, -99.9, 0
2040, -33.8685897242922, -60.2703708492029, 1, 6, 6
2041, -9.31248553260391, -14.9076600704333, 1, 5, 5
2042, -18.1588353452131, -37.4763640129998, 1, 8, 8
2043, -35.7840376739212, -128.520878430375, 2, 8, 12
2044, -99.9, -99.9, 0, -99.9, 0
2045, -81.593978575936, -186.931365982947, 1, 14, 14
2046, -30.4684481644836, -186.931365982947, 3, 10, 21
2047, -9.11466364051946, -23.9047874171778, 2, 5, 10
2048, -7.2342910128885, -14.9570022404056, 2, 7, 11
2049, -3.30428649143891, -5.92386530509718, 1, 7, 7
2050, -30.4151904020853, -108.742908351292, 2, 15, 21
2051, -7.2888411222443, -15.0481147705807, 2, 14, 17
2052, -60.7980227555482, -157.360358053767, 1, 9, 9
2053, -99.9, -99.9, 0, -99.9, 0
2054, -80.0617038340515, -265.014182168811, 1, 38, 38
2055, -20.2497951482397, -65.8174906415861, 2, 7, 12
2056, -14.6404393388269, -21.2015431157, 1, 3, 3
2057, -22.8371474594793, -66.8199847843195, 1, 9, 9
2058, -4.11682039367546, -9.08300875722222, 2, 3, 4
2059, -14.2400278181473, -35.3034277818112, 2, 4, 8
2060, -43.7237529504214, -206.633803706264, 2, 17, 29
2061, -99.9, -99.9, 0, -99.9, 0
2062, -11.5119730071124, -37.5221012091917, 3, 5, 13
2063, -99.9, -99.9, 0, -99.9, 0
2064, -28.7313515415059, -106.280666877967, 2, 8, 12
2065, -99.9, -99.9, 0, -99.9, 0
2066, -99.9, -99.9, 0, -99.9, 0
2067, -99.9, -99.9, 0, -99.9, 0
2068, -10.0831468697035, -19.4872488930002, 3, 3, 9
2069, -25.976904568522, -69.9078771782417, 2, 6, 9
2070, -29.379273490774, -69.9078771782417, 3, 12, 22
2071, -17.3154106026588, -40.8009859078806, 2, 8, 14
2072, -6.30266938728122, -11.1656423206027, 1, 4, 4
2073, -17.5647644976697, -88.6620725332751, 2, 14, 20
2074, -23.6582331262636, -182.51495820175, 3, 10, 22
2075, -21.4449858197994, -58.1854233923082, 2, 8, 14
2076, -99.9, -99.9, 0, -99.9, 0
2077, -73.4919274368552, -312.890030716541, 2, 13, 20
2078, -11.6952515821792, -32.2759055588613, 1, 6, 6
2079, -16.9118972880784, -75.973978042375, 3, 14, 22
2080, -12.4455139292654, -42.1194199488805, 2, 7, 12
2081, -31.4971979876132, -83.8054040088586, 1, 19, 19
2082, -3.61249810655094, -8.88442477853337, 2, 3, 4
2083, -24.9891301424924, -57.701553651175, 1, 12, 12
2084, -1.47064725428336, -2.17912161291113, 1, 3, 3
2085, -99.9, -99.9, 0, -99.9, 0
2086, -10.7369252002845, -31.844412053439, 3, 5, 13
2087, -12.504266363249, -67.189007591825, 5, 15, 34
2088, -99.9, -99.9, 0, -99.9, 0
2089, -99.9, -99.9, 0, -99.9, 0
2090, -99.9, -99.9, 0, -99.9, 0
2091, -99.9, -99.9, 0, -99.9, 0
2092, -2.55533325624541, -3.40192670057229, 1, 3, 3
2093, -99.9, -99.9, 0, -99.9, 0
2094, -12.0980410046072, -16.133044240525, 1, 7, 7
2095, -3.18250161739858, -4.36480650815829, 1, 6, 6
2096, -99.9, -99.9, 0, -99.9, 0
2097, -15.2179632164418, -43.6430987887442, 2, 11, 16
2098, -13.8133021067925, -43.6430987887442, 2, 3, 6
2099, -99.9, -99.9, 0, -99.9, 0
2100, -99.9, -99.9, 0, -99.9, 0
