"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, 2.01511151404185
1971-04, 1.27823888886968
1971-05, 0.55044774861389
1971-06, -0.82528995849225
1971-07, -0.302822644923279
1971-08, -0.781843347412448
1971-09, -1.46857337963498
1971-10, 0.0129292282649275
1971-11, 0.0637741249943526
1971-12, -0.0885930833194136
1972-01, -1.12060436387974
1972-02, -1.57466394359496
1972-03, -0.502266158169139
1972-04, -0.513769443168839
1972-05, 0.311837058217668
1972-06, -1.15040931504272
1972-07, -0.266532551789699
1972-08, -1.24504490725222
1972-09, -1.17920602666057
1972-10, -0.98707349998146
1972-11, -1.76374735929741
1972-12, -1.92499895643537
1973-01, -2.10638940665872
1973-02, -1.46015885260343
1973-03, -1.36985532735392
1973-04, -1.41449719859422
1973-05, -1.13884493690999
1973-06, -0.520938938818031
1973-07, 0.317555120289151
1973-08, 0.337596285913852
1973-09, 0.515021485312714
1973-10, 1.73099729202532
1973-11, 0.467504774430169
1973-12, 1.05704795438826
1974-01, 0.271427574019081
1974-02, 1.37595963925866
1974-03, 1.17741399669359
1974-04, 2.27236118537771
1974-05, 2.43976876205441
1974-06, 2.11724971497924
1974-07, 0.453200842300233
1974-08, -0.674153671017745
1974-09, 0.0723805879811977
1974-10, -0.845767989414363
1974-11, -1.30961273968758
1974-12, -1.53260533995511
1975-01, -1.44133153970795
1975-02, -1.34707437060553
1975-03, -0.0485563875283167
1975-04, 0.654030516551653
1975-05, 0.890665060521615
1975-06, -0.830433878543285
1975-07, -0.822697674593171
1975-08, -0.724311742509615
1975-09, -0.560715762982508
1975-10, 1.51423528737554
1975-11, 2.18779142099127
1975-12, 2.19153207349302
1976-01, 1.49864063491445
1976-02, -0.421790672976104
1976-03, -0.103217207954558
1976-04, 0.328854724112886
1976-05, 0.727936755724414
1976-06, 0.624387762804348
1976-07, 0.0414380216666982
1976-08, -0.631157438581712
1976-09, -0.180881376405846
1976-10, 1.58784501984347
1976-11, 0.808642184269531
1976-12, 0.0438578825022493
1977-01, -1.60768060922783
1977-02, -1.74646925345621
1977-03, -1.44055255282889
1977-04, -0.38714200813373
1977-05, 0.061471127696633
1977-06, 0.503748778790177
1977-07, -0.43951333767244
1977-08, -1.31841813929005
1977-09, 0.960556057421511
1977-10, 0.86336185930096
1977-11, -0.101013576751798
1977-12, 0.258829436935293
1978-01, 0.431225066814176
1978-02, 1.63129272067008
1978-03, 0.980809581043627
1978-04, 0.48861620114678
1978-05, -0.0820529652268971
1978-06, -0.680462905060114
1978-07, -0.10444041453117
1978-08, -0.0499336079609146
1978-09, -0.301861923791752
1978-10, -1.24339434430828
1978-11, 0.388545934291809
1978-12, 0.345172212431586
1979-01, 0.16315935444943
1979-02, -0.545716897090456
1979-03, -0.855128077987629
1979-04, -0.643730591148546
1979-05, -1.43866125574966
1979-06, -0.840977242222907
1979-07, 0.103131937783403
1979-08, 1.0538584191589
1979-09, 2.20953760951695
1979-10, 2.660541667662
1979-11, 1.47713267215573
1979-12, -0.466399434200658
1980-01, -0.760780092514609
1980-02, -0.873596579765405
1980-03, 0.848339452544497
1980-04, -0.162397587001438
1980-05, 0.0551531325588844
1980-06, -1.18194463513934
1980-07, -0.48534287155018
1980-08, -0.295029422288728
1980-09, -0.914389400534882
1980-10, 1.46391202119336
1980-11, 2.07877725786125
1980-12, 1.92801117835529
1981-01, 0.373700826334372
1981-02, -1.50517451341859
1981-03, -1.30684804987724
1981-04, 0.594586476080746
1981-05, 0.771409545318886
1981-06, 1.20871904662524
1981-07, 0.0196829802175494
1981-08, 0.0987362664402537
1981-09, -0.345673458261449
1981-10, -0.516950670219092
1981-11, 0.308069295370924
1981-12, 0.569210027140334
1982-01, 0.981433583733753
1982-02, 0.221665391984401
1982-03, 0.432628860230166
1982-04, 0.0383245686171053
1982-05, 0.686286853601402
1982-06, 0.534878817132543
1982-07, 0.573575373464085
1982-08, 0.816007607518944
1982-09, 0.553768092255123
1982-10, -0.773168399700545
1982-11, -1.03239485712872
1982-12, -0.609210866385855
1983-01, 1.15509818607054
1983-02, 1.71221174241434
1983-03, 1.47423222259982
1983-04, 0.479403969727703
1983-05, 0.402294545942169
1983-06, 0.158168315455435
1983-07, -0.078934344280905
1983-08, -1.20376801169447
1983-09, -0.519425622391832
1983-10, -1.07451836771893
1983-11, 0.912710475321378
1983-12, 0.489110216676001
1984-01, 1.32920336712795
1984-02, -0.122350087759926
1984-03, 1.41422484226908
1984-04, 1.27453838540845
1984-05, 1.34537228107161
1984-06, 0.433043313448651
1984-07, -0.0486044932665604
1984-08, -0.187198491490219
1984-09, -0.652125239990174
1984-10, -0.870554153322056
1984-11, -0.894411363133706
1984-12, 0.159330249642124
1985-01, 0.583718237944025
1985-02, 1.17952731156001
1985-03, 1.68543587776416
1985-04, 1.43391955158256
1985-05, 1.61172359267394
1985-06, 0.647731330561276
1985-07, 1.47658633674498
1985-08, 1.09124377700101
1985-09, 1.11539145336096
1985-10, 0.791539001884052
1985-11, 0.0940224620365
1985-12, 0.455474332608715
1986-01, 0.383610762422846
1986-02, 0.691269763328875
1986-03, -0.282921066844373
1986-04, -0.183641523568011
1986-05, -0.0910827508921756
1986-06, -0.0103363325816719
1986-07, -0.70320126319119
1986-08, -0.497347580900371
1986-09, -0.25692004186583
1986-10, -0.527516578823281
