"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Athens_rcp45"
"Latitude: ","37.98"
"Longitude: ","23.73"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -6.93268809625931, -16.3225399173335, 2, 3, 6
1972, -9.34682829947825, -21.5606893897779, 3, 9, 17
1973, -5.59493924581635, -19.1536130995167, 6, 7, 27
1974, -5.04556172838648, -11.1036034541334, 3, 8, 17
1975, -5.21450093466969, -19.7885809753001, 5, 5, 20
1976, -7.65138287846427, -37.3592497430222, 4, 7, 18
1977, -12.4093364726478, -50.4431541636, 4, 7, 21
1978, -6.69130610819404, -19.9301726903223, 2, 6, 10
1979, -2.61527590287722, -9.51722168264994, 2, 5, 9
1980, -6.61821997291686, -29.9893747677332, 2, 15, 18
1981, -4.56008200234406, -16.2323044299, 3, 12, 21
1982, -23.9417066772343, -98.6490663923449, 3, 10, 22
1983, -3.08969643727969, -4.81123845128897, 1, 3, 3
1984, -10.0181920758703, -13.5729392529333, 1, 3, 3
1985, -6.05889846076682, -22.6752778637333, 6, 16, 53
1986, -12.3960271033875, -22.6752778637333, 1, 12, 12
1987, -4.23373665292177, -19.7356225860444, 3, 8, 16
1988, -3.13664915502596, -3.74927145705002, 1, 3, 3
1989, -99.9, -99.9, 0, -99.9, 0
1990, -3.69018311291954, -16.8439668900612, 3, 10, 17
1991, -6.65726855526732, -15.8382129750834, 3, 3, 9
1992, -2.56588653235555, -2.56588653235555, 1, 1, 1
1993, -3.41220522390283, -7.61212021170007, 2, 4, 8
1994, -12.1263688578763, -51.3885535232001, 3, 12, 18
1995, -9.3496787567169, -32.3363058677556, 2, 11, 14
1996, -10.3195058617174, -26.0284831864889, 3, 6, 14
1997, -8.7603909223889, -16.3816321267667, 1, 7, 7
1998, -3.11641312678335, -6.1784816911, 1, 3, 3
1999, -11.8223724259264, -39.2445801574447, 3, 9, 19
2000, -11.1502503306, -19.7458589427556, 1, 4, 4
2001, -6.87786726131856, -9.48861951031116, 1, 6, 6
2002, -7.65102238660363, -18.9643356323112, 3, 6, 14
2003, -7.74232303401489, -11.5391878028001, 1, 3, 3
2004, -0.753007582263889, -1.79000723895, 1, 4, 4
2005, -6.64953315992659, -23.0123614685056, 6, 16, 45
2006, -2.74715294369137, -8.74554296720003, 3, 3, 9
2007, -7.43132546934285, -36.6551862212002, 7, 9, 38
2008, -2.3436258859331, -6.70472552326121, 2, 14, 20
2009, -1.73769106762478, -8.78501747549999, 3, 8, 16
2010, -7.42462096932972, -10.1393309219668, 1, 3, 3
2011, -10.6779624873461, -28.2440643821334, 3, 9, 16
2012, -11.1080890210889, -17.043422013689, 1, 2, 2
2013, -13.1023696916087, -43.8656186532668, 3, 20, 34
2014, -9.75391050911404, -26.4758990462166, 3, 10, 16
2015, -4.35801561404772, -10.2144728684834, 2, 6, 9
2016, -7.63028908443121, -14.6195988411778, 3, 7, 14
2017, -17.4272327523042, -32.1235221481057, 1, 4, 4
2018, -16.8084009180558, -29.5876324296, 2, 4, 7
2019, -4.78149938211089, -13.6433045113334, 2, 5, 9
2020, -12.5128508803293, -49.4775781632001, 2, 17, 21
2021, -21.2197444649838, -37.903327390011, 2, 6, 9
2022, -99.9, -99.9, 0, -99.9, 0
2023, -15.3353507508726, -61.7571915752222, 1, 16, 16
2024, -4.38651005695771, -11.0205116656944, 1, 13, 13
2025, -10.8797956644493, -27.3335490763224, 1, 7, 7
2026, -2.39365254570007, -3.11957166138341, 1, 3, 3
2027, -7.39453890884172, -27.5747616009556, 3, 7, 15
2028, -99.9, -99.9, 0, -99.9, 0
2029, -7.92830063907231, -10.0539916594557, 1, 3, 3
2030, -3.20328310311304, -6.50502099933335, 1, 3, 3
2031, -7.63623087157041, -15.4320558346445, 1, 6, 6
2032, -99.9, -99.9, 0, -99.9, 0
2033, -99.9, -99.9, 0, -99.9, 0
2034, -1.49016817232758, -3.02199890040006, 2, 4, 7
2035, -3.01678840727315, -3.98626386010002, 2, 4, 7
2036, -39.6675130316739, -85.5659394784389, 1, 7, 7
2037, -99.9, -99.9, 0, -99.9, 0
2038, -99.9, -99.9, 0, -99.9, 0
2039, -4.18087574732963, -7.14898643828332, 1, 3, 3
2040, -4.40435804193617, -7.07821899718892, 1, 4, 4
2041, -7.58010409819174, -15.2498588961335, 2, 3, 6
2042, -3.99930362380468, -7.83641162103341, 2, 9, 12
2043, -7.09238669052295, -12.5170192007166, 2, 4, 8
2044, -99.9, -99.9, 0, -99.9, 0
2045, -99.9, -99.9, 0, -99.9, 0
2046, -5.37819304431638, -16.2961324053889, 2, 9, 12
2047, -5.06959711695278, -10.3675329004888, 1, 6, 6
2048, -8.49202196528483, -14.7262408409669, 2, 8, 12
2049, -9.8089689409482, -17.1627859682668, 1, 3, 3
2050, -99.9, -99.9, 0, -99.9, 0
2051, -99.9, -99.9, 0, -99.9, 0
2052, -22.2712859862501, -35.1840968042002, 1, 4, 4
2053, -99.9, -99.9, 0, -99.9, 0
2054, -33.4896893452616, -83.7811369552444, 1, 21, 21
2055, -6.18246603874512, -14.9382690340889, 3, 6, 13
2056, -5.61581502726596, -14.6230899802279, 3, 5, 12
2057, -2.59121562537041, -5.7268110807334, 1, 6, 6
2058, -13.8456778107051, -26.3163522561057, 2, 5, 9
2059, -3.75776217663888, -6.95416799949996, 1, 3, 3
2060, -99.9, -99.9, 0, -99.9, 0
2061, -6.48946296128483, -11.5613727031557, 1, 4, 4
2062, -4.94895644467701, -11.5090150838388, 3, 5, 12
2063, -99.9, -99.9, 0, -99.9, 0
2064, -16.9267942920369, -102.539465358489, 3, 8, 17
2065, -5.33473813844636, -7.08079431460566, 1, 3, 3
2066, -6.28431884636723, -23.4927084877334, 2, 7, 10
2067, -99.9, -99.9, 0, -99.9, 0
2068, -8.10508663680001, -14.9574817233334, 2, 3, 6
2069, -1.90962023173007, -5.97642618613339, 1, 5, 5
2070, -3.50927214368525, -6.60332430946114, 3, 3, 9
2071, -4.37432792571873, -8.24636906423338, 2, 5, 8
2072, -3.1481231559926, -6.06364510115003, 1, 6, 6
2073, -5.48777651662048, -10.9658786354056, 2, 7, 11
2074, -13.7361283593556, -18.9756308498001, 1, 3, 3
2075, -7.75790689108965, -24.5026443470668, 2, 6, 10
2076, -99.9, -99.9, 0, -99.9, 0
2077, -15.6134436884467, -124.035309173494, 4, 10, 22
2078, -8.37891580699078, -15.1095244529, 2, 9, 13
2079, -9.08556836078337, -15.1095244529, 1, 2, 2
2080, -3.69863291909118, -7.48778054931123, 1, 5, 5
2081, -99.9, -99.9, 0, -99.9, 0
2082, -5.28026158425359, -13.44344758605, 3, 6, 14
2083, -99.9, -99.9, 0, -99.9, 0
2084, -99.9, -99.9, 0, -99.9, 0
2085, -15.4631721216332, -28.4498136363001, 2, 5, 8
2086, -8.13683633019268, -13.1863776852668, 1, 3, 3
2087, -14.0210004687535, -41.2773702671333, 2, 4, 8
2088, -99.9, -99.9, 0, -99.9, 0
2089, -99.9, -99.9, 0, -99.9, 0
2090, -12.9582801036464, -16.5775497135501, 1, 3, 3
2091, -8.78166117547411, -15.8995226676667, 1, 3, 3
2092, -6.81374856365142, -11.5726724229778, 1, 4, 4
2093, -99.9, -99.9, 0, -99.9, 0
2094, -99.9, -99.9, 0, -99.9, 0
2095, -13.7714626869653, -30.1597662200332, 3, 7, 14
2096, -99.9, -99.9, 0, -99.9, 0
2097, -1.46630438758428, -3.24373392886666, 1, 6, 6
2098, -99.9, -99.9, 0, -99.9, 0
2099, -3.2165087039352, -6.99141446995554, 1, 6, 6
2100, -4.13804189149868, -5.80780588183899, 1, 4, 4
