"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spei
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -0.678048716865375
1971-07, -1.59382672887556
1971-08, -0.960326487163133
1971-09, -0.249557750566211
1971-10, -0.297217991095405
1971-11, 0.0404041579887094
1971-12, 0.0152085999198017
1972-01, 0.845002469128676
1972-02, 1.01290591068416
1972-03, 0.469287413819704
1972-04, 0.871862770736361
1972-05, 1.01540772413605
1972-06, 1.0437350241182
1972-07, 0.8717161060565
1972-08, 0.990972234265616
1972-09, 0.500969340938541
1972-10, 0.286429937584862
1972-11, -0.0984019562519314
1972-12, -0.339940644227026
1973-01, -0.970998200960018
1973-02, -1.86151052853192
1973-03, -0.935393259505799
1973-04, -1.8046873616355
1973-05, -1.97754815507615
1973-06, -1.4617456718226
1973-07, -2.37212031772545
1973-08, -1.747195307498
1973-09, -1.98440491507039
1973-10, -1.01577337936552
1973-11, -0.439570718183606
1973-12, -0.0902374271106901
1974-01, 1.03881134321916
1974-02, 1.24308964563225
1974-03, 0.973225316713625
1974-04, -0.191721203304649
1974-05, -1.02441388868615
1974-06, -1.48080049937357
1974-07, -0.930223272327469
1974-08, 0.18860426455519
1974-09, 0.979274192431286
1974-10, 1.45325200055808
1974-11, 1.65382990559548
1974-12, 1.59462156661246
1975-01, 2.32483966337024
1975-02, 2.08517929849728
1975-03, 1.17004315566013
1975-04, 0.321831969465163
1975-05, -0.546517971046622
1975-06, 0.239166142420429
1975-07, -0.792545948131744
1975-08, -0.218999140516735
1975-09, 0.506972981853072
1975-10, 0.83960940894056
1975-11, 0.851691288692704
1975-12, 0.831967895426337
1976-01, 1.6089015269506
1976-02, 1.51029498152137
1976-03, -0.290773639194324
1976-04, -1.151900992837
1976-05, -1.49379607179364
1976-06, -1.55758860119421
1976-07, -0.506854474405359
1976-08, -0.59688515664379
1976-09, -0.848733951933785
1976-10, -0.616058528058905
1976-11, -0.214128152477141
1976-12, 0.189520201206407
1977-01, -0.530678458021133
1977-02, -0.338621266166685
1977-03, -0.0793772469946905
1977-04, 0.259011919169029
1977-05, 0.568771482109112
1977-06, 0.470440981430271
1977-07, 0.689674670748983
1977-08, 0.701471593375563
1977-09, 0.718162673534383
1977-10, 0.709603422029301
1977-11, 0.649511516172306
1977-12, 0.124361847667436
1978-01, 0.53090099822855
1978-02, 0.694478688734251
1978-03, 0.484381861927987
1978-04, -0.551763031372167
1978-05, -1.02424300761685
1978-06, 0.0752178949535651
1978-07, 0.0827333230134703
1978-08, -0.399212048545916
1978-09, -0.29210845858689
1978-10, 0.157006461620776
1978-11, 0.307878835128839
1978-12, -0.18312895228156
1979-01, 0.0384261470765987
1979-02, 0.165780976655062
1979-03, -0.0973816861767849
1979-04, -1.56856274446489
1979-05, -1.66523631004755
1979-06, -0.573888650471284
1979-07, -0.73916476469449
1979-08, -0.746348923857231
1979-09, -0.872147282128674
1979-10, 0.186399070506224
1979-11, -0.0627447001266102
1979-12, 0.176838012713219
1980-01, 0.0261695740704272
1980-02, 0.595399033701709
1980-03, 0.845891458511035
1980-04, -0.775762054280123
1980-05, -0.818965371195862
1980-06, -1.0276497320745
1980-07, -0.471153222766638
1980-08, 0.485690517172224
1980-09, 0.776726392721974
1980-10, 0.593611087414832
1980-11, 0.606301583344723
1980-12, 0.747316342040182
1981-01, 0.926525976574113
1981-02, 0.473022391551685
1981-03, -0.424679595239106
1981-04, 0.192961879027298
1981-05, -0.793141984567771
1981-06, -1.28677657511656
1981-07, -0.721850923876911
1981-08, -1.26383074662534
1981-09, -0.758603312270216
1981-10, -1.01295573630266
1981-11, -0.864449559690248
1981-12, -0.963173149377475
1982-01, -1.15639607379429
1982-02, -1.3282640876004
1982-03, -1.29264935145086
1982-04, -1.36187072504897
1982-05, 0.395878603141832
1982-06, 0.348199968824523
1982-07, 0.790900231152631
1982-08, 0.734640142258563
1982-09, 0.313023857435409
1982-10, 0.596622114147093
1982-11, -0.49278368300494
1982-12, 0.0995235181284994
1983-01, -0.372992241620301
1983-02, 0.0455022652452233
1983-03, 0.821713550976532
1983-04, 1.76416574340702
1983-05, 1.99874788886382
1983-06, 1.96270067483855
1983-07, 2.08207402771853
1983-08, 2.37146771905944
1983-09, 2.0953867764911
1983-10, 1.8169918549471
1983-11, 2.01149900994631
1983-12, 1.56075727980173
1984-01, 0.799327231131141
1984-02, 0.403479482540909
1984-03, 0.171592576346316
1984-04, 0.124319810546283
1984-05, 1.10652848159212
1984-06, 0.623631808459615
1984-07, 1.32364740378657
1984-08, 0.613569529487136
1984-09, 0.58968932160898
1984-10, 0.594192747315273
1984-11, 0.0802131668699383
1984-12, 0.0957003604605073
1985-01, -1.22558159344822
1985-02, -2.08363744966537
1985-03, -1.90141501177482
1985-04, -2.61168177699968
1985-05, -2.42440548094443
1985-06, -2.12866616081414
1985-07, -2.21312998302514
1985-08, -1.07131253527272
1985-09, -0.784110832913075
1985-10, -0.302965137671285
1985-11, -0.642474098541358
1985-12, -0.538661914130658
1986-01, -0.426893800545749
1986-02, -0.713701897965266
1986-03, -0.582115737907416
1986-04, -1.66349316966434
1986-05, -1.32649372531277
1986-06, -0.21129212163008
1986-07, 0.939017552649082
1986-08, 0.651953677541202
1986-09, 1.10308878288237
1986-10, 1.16587412589891
1986-11, 1.33930152567091
