"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, CWM, CWA, CWN, CWD, CWF
1971, -4.94936013359504, -16.4127721699334, 5, 7, 22
1972, -14.3720472989853, -58.8959185199583, 3, 11, 21
1973, -1.02422382705511, -1.94303562167782, 1, 6, 6
1974, -18.1672562856613, -38.7924402345667, 1, 21, 21
1975, -15.1590924067691, -38.8038203999193, 4, 13, 30
1976, -99.9, -99.9, 0, -99.9, 0
1977, -12.6641435004952, -26.6547255757556, 4, 21, 39
1978, -27.8047525425874, -64.9364085177751, 1, 13, 13
1979, -9.824106633942, -23.5643435219693, 2, 4, 7
1980, -26.8235734720654, -66.904130827375, 1, 13, 13
1981, -9.04820238737017, -36.22169669085, 4, 6, 19
1982, -8.22104968785179, -20.3606379100166, 3, 4, 11
1983, -2.42782593725973, -4.51965804923889, 2, 3, 6
1984, -16.8544151989178, -76.069614479825, 2, 30, 54
1985, -1.66466892841945, -3.35078348974168, 2, 3, 6
1986, -25.7631617398313, -54.3383031606694, 1, 12, 12
1987, -20.5213929901009, -58.9081742562694, 3, 9, 21
1988, -99.9, -99.9, 0, -99.9, 0
1989, -7.49530040479226, -20.1952238543778, 2, 5, 10
1990, -18.6706267866226, -26.9693528246722, 1, 6, 6
1991, -18.161673895701, -32.9538575031834, 1, 8, 8
1992, -99.9, -99.9, 0, -99.9, 0
1993, -8.44796407619074, -17.255046706275, 2, 3, 6
1994, -10.1496859216108, -22.5792129511083, 2, 9, 16
1995, -43.7700891777308, -156.439550349225, 2, 7, 10
1996, -4.38805679679009, -9.70380457975829, 3, 3, 9
1997, -2.83529780593243, -5.0929096031666, 2, 8, 11
1998, -99.9, -99.9, 0, -99.9, 0
1999, -10.9464092397788, -24.9909967413667, 3, 6, 12
2000, -4.47899217119539, -19.4610888884638, 4, 11, 23
2001, -7.88038499292154, -20.9517534511695, 4, 9, 19
2002, -99.9, -99.9, 0, -99.9, 0
2003, -3.8094814162578, -14.6782943356389, 2, 12, 17
2004, -7.74071798395868, -20.898871933875, 4, 9, 27
2005, -17.7876159452367, -116.782875548111, 5, 23, 56
2006, -14.491960518539, -46.6563774031639, 2, 7, 10
2007, -11.70153675925, -14.1941676843917, 1, 5, 5
2008, -14.6447365697528, -45.4958590626083, 2, 11, 20
2009, -26.1179398336099, -110.9658465955, 2, 20, 31
2010, -11.5521565025053, -34.1387349199723, 4, 13, 39
2011, -16.4537606414114, -31.5666262751638, 1, 10, 10
2012, -6.68974770066131, -27.7616481091974, 4, 5, 12
2013, -9.66937153194568, -29.3682672337999, 2, 10, 13
2014, -7.79530217274808, -18.237417689614, 2, 7, 12
2015, -6.51448036191044, -12.2011206670389, 3, 10, 18
2016, -10.4910030754075, -39.824025059839, 4, 12, 23
2017, -8.30287292966996, -19.6730382455778, 3, 9, 18
2018, -10.50529181908, -30.7095778850249, 2, 6, 11
2019, -99.9, -99.9, 0, -99.9, 0
2020, -23.1486014385694, -41.7372603174194, 1, 6, 6
2021, -20.0111135736804, -78.6023383833639, 2, 10, 13
2022, -4.88555339604867, -15.1941505711751, 3, 5, 12
2023, -14.0033466843292, -32.1811018519306, 2, 14, 26
2024, -6.62660390085259, -13.0729968289556, 2, 6, 8
2025, -99.9, -99.9, 0, -99.9, 0
2026, -4.57151263109459, -14.6180694046444, 3, 8, 15
2027, -8.79996952593154, -18.2437425658, 3, 27, 44
