"Description: ","Maximum 3-day precipitation total"
"Station: ","final_1971_2005_Kiev_rcp85"
"Latitude: ","50.45"
"Longitude: ","30.51"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, rx3day, normalised (all years)
1971-01, 10.2928412448, -0.888716907448539
1971-02, 21.7304424, -0.265253203602076
1971-03, 17.7565761792, -0.4818686738385
1971-04, 15.3830210832, -0.61125117558477
1971-05, 13.147936416, -0.733085653471719
1971-06, 15.24474, -0.618788878214362
1971-07, 90.11536416, 3.46240926942937
1971-08, 18.288811584, -0.452856518903899
1971-09, 36.210506112, 0.524055151473051
1971-10, 18.8751978432, -0.420892600588799
1971-11, 18.9767169792, -0.415358791909601
1971-12, 4.8730819104, -1.18414801950871
1972-01, 7.6934889072, -1.0304076181152
1972-02, 25.137921888, -0.0795114773832462
1972-03, 10.4151823488, -0.882048093175554
1972-04, 15.764013504, -0.590483276565892
1972-05, 11.60054733888, -0.81743384084265
1972-06, 56.1914888256, 1.61321863252778
1972-07, 44.349069024, 0.967688261969834
1972-08, 20.2477126248, -0.346076812058587
1972-09, 21.885913152, -0.256778492028693
1972-10, 6.22846713599999, -1.11026596317322
1972-11, 4.64589907199999, -1.19653175731853
1972-12, 43.13372256, 0.90143971932349
1973-01, 5.98969295999999, -1.12328154486136
1973-02, 51.8847286752, 1.37845711230061
1973-03, 23.6639987136, -0.159855037980196
1973-04, 13.849640928, -0.694835736542381
1973-05, 25.109605152, -0.0810550228232248
1973-06, 9.8656506144, -0.912003071134759
1973-07, 18.455807428128, -0.443753574493246
1973-08, 53.3292794784, 1.45719958477684
1973-09, 110.25934272, 4.56045765499591
1973-10, 17.66273553216, -0.486983928040934
1973-11, 21.8417885856, -0.259183722393441
1973-12, 20.13316992, -0.352320535546946
1974-01, 3.52294272, -1.25774411443569
1974-02, 9.262606176, -0.944875026892539
1974-03, 18.182359872, -0.458659202328836
1974-04, 10.56217536, -0.874035503301266
1974-05, 10.62286575264, -0.870727269654211
1974-06, 36.16670088864, 0.521667328499225
1974-07, 16.897410432, -0.528701803591743
1974-08, 16.750530432, -0.536708233224878
1974-09, 58.9454467488, 1.76333689454245
1974-10, 39.037932288, 0.678178168364574
1974-11, 27.1375718688, 0.0294894544126025
1974-12, 42.638344704, 0.874436669583041
1975-01, 22.64056272, -0.21564253979648
1975-02, 35.440957296, 0.482107041147846
1975-03, 21.999636288, -0.250579443240271
1975-04, 11.52548949888, -0.821525244126794
1975-05, 30.288286368, 0.201234919635519
1975-06, 77.23696896, 2.76040787402837
1975-07, 90.72529632, 3.49565667493064
1975-08, 65.31789888, 2.11069929636006
1975-09, 71.305884576, 2.43710443061416
1975-10, 58.74898464, 1.75262774387738
1975-11, 17.6453685792, -0.487930600745293
